days,fips,tot_cases,tot_death,new_death,actual cases,predicted cases
230,28,73207,2128,44,1071,1116.705
107,21,2429,129,7,138,120.118
132,45,7792,346,15,139,293.814
69,45,7,0,0,1,2.611
245,21,49185,948,15,789,620.105
190,12,220476,3953,112,9882,8641.945
236,13,262099,5132,40,1812,2499.433
95,51,2407,52,6,395,335.933
96,1,1841,31,5,208,209.604
194,21,19389,625,3,268,384.596
95,1,1633,26,5,98,236.604
293,51,167754,3485,28,926,940.477
205,37,107432,1726,28,1945,2054.132
85,21,198,5,1,35,48.761
265,1,145780,2439,2,818,916.861
263,45,137240,3188,11,922,675.437
171,1,29017,823,13,803,654.061
98,21,1149,65,6,141,122.567
218,47,114098,1144,27,1657,1739.724
240,12,605342,10868,135,3229,3303.025
179,12,130092,3390,24,9518,7411.955
274,21,68840,1174,4,984,568.1
314,37,294860,4615,8,1521,2354.005
198,12,311640,4677,156,13764,9630.651
311,47,273144,3541,32,1373,2885.881
298,37,258292,4144,30,2584,2430.383
255,1,136703,2333,32,1138,956.577
220,21,33796,764,4,542,566.835
127,13,28998,1327,69,802,655.734
121,13,25241,1111,57,537,805.7
276,47,198403,2515,14,971,1321.779
99,13,10080,371,20,1130,819.335
318,1,213617,3231,18,2980,2162.038
328,47,344550,4301,35,4074,4592.707
239,47,147353,1648,20,1936,1044.907
82,37,255,0,0,71,86.564
240,28,81294,2413,14,599,734.463
248,21,51677,987,11,792,817.414
163,51,53211,1534,14,564,566.834
243,12,614753,11119,14,2547,2096.966
197,1,59113,1211,45,1805,1760.007
151,47,22720,366,5,484,516.388
289,45,161106,3607,14,1297,920.306
304,28,120160,3334,6,824,562.169
83,1,196,0,0,39,59.47
100,1,2838,48,0,339,131.441
129,28,9378,422,13,288,290.094
173,13,64673,2643,1,885,1419.649
191,28,34622,1215,11,1031,962.879
128,37,13397,507,30,639,585.229
135,21,7225,328,2,145,222.47
236,21,43529,881,9,463,734.536
254,37,184179,2990,32,1307,1329.874
295,51,170104,3524,9,1332,1143.825
138,45,8816,385,5,155,186.116
220,51,99189,2322,5,1307,1382.936
284,47,212649,2758,26,1646,1770.876
317,12,851825,17372,72,5504,4731.564
131,47,15060,243,1,217,348.106
187,47,51431,646,9,1291,1345.179
161,12,64448,2765,53,1070,1369.199
157,21,10977,466,8,272,287.888
94,13,5931,198,22,488,896.105
309,28,123887,3405,8,1612,846.19
235,1,114532,2011,15,900,1296.009
244,45,118992,2720,11,668,1046.865
173,21,13750,526,2,120,190.893
149,21,9184,409,9,107,207.323
308,47,266357,3454,75,1770,2599.175
291,37,243725,3929,19,2102,2163.496
67,45,2,0,0,2,0.098
306,13,390428,7981,2,1435,1537.872
111,45,4439,124,4,62,169.186
288,45,159809,3593,17,926,877.83
306,47,261426,3353,0,754,1840.905
201,13,145038,3173,5,3193,2992.014
282,21,77455,1234,11,868,1528.641
270,21,66036,1154,5,970,535.292
268,13,327158,6822,49,1608,1874.68
104,21,2048,104,7,85,123.568
251,37,181070,2897,7,1039,1220.328
176,13,69639,2698,11,1835,1724.49
326,28,143180,3676,19,779,1581.893
302,51,178183,3636,20,1429,1214.56
112,1,5668,180,33,244,266.826
102,47,4863,100,2,0,353.832
300,21,97866,1410,3,924,1420.472
190,21,17919,608,6,400,455.989
314,51,194913,3726,13,1435,1374.024
168,47,31830,493,10,670,755.912
297,28,115088,3255,17,1212,853.454
303,45,174591,3889,13,1100,1012.912
90,28,937,20,4,90,132.577
242,51,119747,2569,1,938,674.984
317,28,131970,3519,5,1305,1236.284
154,28,16322,782,14,301,368.107
103,28,2942,98,5,300,188.337
278,37,217496,3634,5,610,2073.916
334,51,237836,4062,4,1893,2528.092
152,21,9704,431,0,0,38.669
188,13,97534,2878,18,1642,3124.271
234,51,112072,2443,7,1212,837.36
110,1,4946,165,52,223,552.45
174,28,22287,978,40,1646,760.707
325,1,228373,3451,32,2463,2736.911
268,1,148206,2480,-8,1053,928.41
218,51,95867,2299,25,818,1251.616
293,13,364909,7657,19,1134,1536.934
109,21,2707,144,7,185,130.176
278,12,707751,14671,43,1813,1741.888
210,1,82530,1493,1,1260,1612.05
118,21,4146,213,5,72,158.768
311,51,190874,3704,22,2103,1353.03
90,45,925,18,2,151,131.312
83,47,615,2,0,110,86.071
189,47,53514,665,12,1359,1355.93
266,21,62731,1119,7,814,889.616
320,21,137586,1661,3,1449,1898.205
274,45,147942,3378,19,308,889.362
223,51,101746,2344,17,996,887.241
246,37,173509,2779,38,1216,1973.733
265,12,677362,13317,21,1671,1997.921
287,12,729591,15531,119,2657,3172.724
142,51,34950,1136,37,813,971.716
90,13,3224,103,19,389,828.815
145,51,37727,1208,37,1483,1042.925
277,12,705938,14628,74,2726,2766.984
86,45,456,9,2,32,80.531
101,37,3908,74,9,257,240.615
253,12,644781,12115,200,2006,3371.306
175,37,54470,1251,28,854,1492.366
78,47,98,0,0,25,26.903
205,12,385091,5518,173,10171,10580.215
109,47,6763,145,4,433,179.008
252,12,642775,11915,44,1797,2231.387
88,13,2592,79,14,225,608.401
190,45,48909,884,38,1557,1581.713
228,45,105882,2260,56,1041,920.971
330,21,166139,1835,26,3301,3293.735
75,37,32,0,0,9,5.975
330,12,946956,18254,97,8126,9596.242
222,1,101334,1768,17,981,1337.296
180,1,36350,924,1,1245,683.369
101,47,4863,98,4,228,289.982
153,12,55415,2460,9,651,828.647
274,28,98886,2979,10,696,662.846
214,51,91782,2218,3,981,1131.527
74,1,1,0,0,0,1.666
102,51,5077,130,9,568,391.333
149,1,16729,594,10,467,473.138
154,21,10185,442,3,139,281.839
257,47,171824,2078,14,933,1498.548
125,51,19492,684,0,0,74.025
242,12,612206,11105,148,3132,3397.263
248,47,160597,1837,22,1051,1457.016
302,21,101494,1442,14,1857,1713.055
246,21,49991,966,18,806,774.082
103,13,12203,447,15,157,653.929
267,28,95310,2874,4,737,465.136
320,13,424989,8957,1,2084,1504.141
321,51,206763,3835,30,2125,2095.179
122,13,26176,1167,56,935,776.617
160,51,51738,1496,19,487,742.881
288,37,236407,3856,40,1926,1946.545
92,13,4806,154,24,570,934.034
262,45,136318,3177,19,872,873.786
226,37,142636,2287,38,1978,1206.842
178,21,14859,553,7,242,242.785
206,21,25931,691,7,784,673.456
95,13,6353,208,10,422,296.032
164,28,19348,889,21,865,481.983
188,51,66740,1881,28,638,727.653
238,21,44568,895,10,669,737.404
228,37,145508,2343,30,1662,1236.187
113,28,5153,201,18,437,316.203
260,13,313535,6419,21,2669,1504.694
248,13,290938,5931,63,2298,2477.612
122,12,34728,1314,46,1038,1026.487
300,13,377553,7827,18,1346,1849.576
139,45,8942,391,6,126,176.743
64,12,2,0,0,0,-0.259
284,21,79445,1249,7,989,1014.839
195,37,87756,1510,7,1846,1874.034
300,51,175409,3600,19,1134,1072.967
134,13,33331,1505,41,558,554.865
324,37,325158,4936,38,4296,3511.859
191,12,229367,4009,56,8891,10166.62
192,21,18670,620,8,425,430.647
297,47,241513,3076,65,3606,2437.131
213,13,190734,3752,81,4308,4483.593
221,45,99460,2007,45,1241,1337.39
190,1,46991,1057,25,1170,1401.151
121,1,7306,280,20,201,329.931
103,12,19337,461,15,892,707.336
293,1,173485,2789,1,859,1081.139
155,45,12651,518,17,236,558.597
87,37,764,3,1,128,110.339
249,37,178932,2889,50,1586,1707.717
250,37,180031,2890,1,1099,1255.831
235,51,112072,2443,0,0,578.261
223,21,35254,775,2,272,362.156
