days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
195,45,58168,972,11,-6,3,55,-4,-30,8,1520,1835.827,20.77809211,79.22190789,1836,20.78947368,79.21052632
254,21,54772,1035,22,-11,2,94,-8,-31,5,795,810.54,1.954716981,98.04528302,811,2.012578616,97.98742138
200,47,76336,838,23,-11,6,131,1,-10,2,2517,1837.11,27.01191895,72.98808105,1837,27.01628923,72.98371077
85,28,485,5,3,-24,-5,26,-13,-34,13,108,89.757,16.89166667,83.10833333,90,16.66666667,83.33333333
259,37,190645,3111,51,-10,0,79,-24,-30,7,1210,1330.197,9.933636364,90.06636364,1330,9.917355372,90.08264463
144,28,13252,625,10,-9,8,45,-2,-16,4,247,324.909,31.54210526,68.45789474,325,31.57894737,68.42105263
146,45,10178,440,5,-13,0,68,-18,-65,18,82,274.159,234.3402439,-134.3402439,274,234.1463415,-134.1463415
317,51,199263,3785,27,-24,-13,-17,-40,-37,15,1235,2361.794,91.23838057,8.761619433,2362,91.25506073,8.744939271
259,21,58000,1074,9,-7,4,101,-3,-27,5,718,836.027,16.43830084,83.56169916,836,16.43454039,83.56545961
152,51,45398,1392,17,-23,-4,96,-30,-17,5,791,1048.636,32.57092288,67.42907712,1049,32.61694058,67.38305942
82,1,157,0,0,-40,-7,2,-22,-27,9,26,57.564,121.4,-21.4,58,123.0769231,-23.07692308
328,37,339194,5039,5,-9,5,21,-31,-29,7,2419,2327.859,3.767713931,96.23228607,2328,3.761885076,96.23811492
293,37,247172,3939,5,-11,-1,58,-21,-29,6,1144,1980.372,73.10944056,26.89055944,1980,73.07692308,26.92307692
228,47,131747,1345,19,-10,3,97,-3,-11,2,1289,1683.816,30.62963538,69.37036462,1684,30.64391001,69.35608999
320,28,134898,3545,2,-11,-7,4,2,-18,3,589,1291.261,119.2293718,-19.22937182,1291,119.1850594,-19.18505942
70,47,7,0,0,8,8,26,3,-1,1,6,2.005,66.58333333,33.41666667,2,66.66666667,33.33333333
228,51,106691,2382,1,-22,-7,31,-22,-17,6,938,662.484,29.37270789,70.62729211,662,29.42430704,70.57569296
244,47,154933,1754,7,-8,-5,34,-16,-28,7,1818,1188.489,34.62656766,65.37343234,1188,34.65346535,65.34653465
280,21,74194,1218,4,-10,1,69,-3,-29,5,1036,1097.972,5.981853282,94.01814672,1098,5.984555985,94.01544402
