days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
149,21,9184,409,9,-8,10,74,-12,-34,10,107,246.186,130.0803738,-30.08037383,246,129.9065421,-29.90654206
308,47,266357,3454,75,-3,4,44,-15,-27,7,1770,2459.656,38.96361582,61.03638418,2460,38.98305085,61.01694915
291,37,243725,3929,19,-10,-1,97,-13,-11,1,2102,2215.795,5.413653663,94.58634634,2216,5.42340628,94.57659372
67,45,2,0,0,11,7,53,18,3,-2,2,4.676,133.8,-33.8,5,150,-50
306,13,390428,7981,2,-12,-7,24,-28,-16,3,1435,1537.29,7.128222997,92.871777,1537,7.108013937,92.89198606
111,45,4439,124,4,-30,-11,-25,-33,-40,16,62,171.977,177.3822581,-77.38225806,172,177.4193548,-77.41935484
288,45,159809,3593,17,-7,-3,27,-5,-24,6,926,900.904,2.710151188,97.28984881,901,2.699784017,97.30021598
306,47,261426,3353,0,-8,-1,38,-12,-16,2,754,2096.751,178.083687,-78.083687,2097,178.1167109,-78.11671088
201,13,145038,3173,5,-15,-4,51,-31,-21,4,3193,2876.858,9.901096148,90.09890385,2877,9.89664892,90.10335108
282,21,77455,1234,11,-11,0,77,-3,-29,6,868,1344.213,54.86324885,45.13675115,1344,54.83870968,45.16129032
270,21,66036,1154,5,-11,4,175,3,-7,0,970,778.562,19.73587629,80.26412371,779,19.69072165,80.30927835
268,13,327158,6822,49,-17,-11,-24,-33,-32,11,1608,1966.498,22.29465174,77.70534826,1966,22.26368159,77.73631841
104,21,2048,104,7,-37,-13,-16,-39,-46,19,85,151.104,77.76941176,22.23058824,151,77.64705882,22.35294118
251,37,181070,2897,7,-12,-1,134,-31,-69,14,1039,1233.932,18.76150144,81.23849856,1234,18.7680462,81.2319538
176,13,69639,2698,11,-10,-3,25,-33,-36,11,1835,1679.701,8.463160763,91.53683924,1680,8.446866485,91.55313351
326,28,143180,3676,19,-11,-4,19,19,-11,2,779,1678.236,115.4346598,-15.43465982,1678,115.4043646,-15.40436457
302,51,178183,3636,20,-12,-3,40,-31,-34,10,1429,1269.442,11.16571029,88.83428971,1269,11.19664101,88.80335899
112,1,5668,180,33,-23,-4,18,-23,-38,15,244,221.801,9.09795082,90.90204918,222,9.016393443,90.98360656
300,21,97866,1410,3,-14,-5,12,-7,-26,8,924,1264.251,36.8237013,63.1762987,1264,36.7965368,63.2034632
190,21,17919,608,6,-4,8,97,-5,-32,8,400,401.373,0.34325,99.65675,401,0.25,99.75
314,51,194913,3726,13,-17,-8,29,-36,-32,11,1435,1461.275,1.831010453,98.16898955,1461,1.81184669,98.18815331
168,47,31830,493,10,2,7,108,-12,-28,7,670,715.225,6.75,93.25,715,6.71641791,93.28358209
297,28,115088,3255,17,-13,-11,6,1,-19,4,1212,849.932,29.87359736,70.12640264,850,29.8679868,70.1320132
303,45,174591,3889,13,-9,-7,-1,-7,-27,7,1100,1051.536,4.405818182,95.59418182,1052,4.363636364,95.63636364
90,28,937,20,4,-26,-6,4,-23,-34,13,90,130.818,45.35333333,54.64666667,131,45.55555556,54.44444444
242,51,119747,2569,1,-19,-4,46,-22,-14,5,938,774.219,17.46066098,82.53933902,774,17.48400853,82.51599147
317,28,131970,3519,5,-12,-8,9,3,-18,5,1305,1321.063,1.230881226,98.76911877,1321,1.22605364,98.77394636
154,28,16322,782,14,5,8,43,3,-25,7,301,360.393,19.73189369,80.26810631,360,19.6013289,80.3986711
103,28,2942,98,5,-63,-44,-50,-49,-43,14,300,326.981,8.993666667,91.00633333,327,9,91
278,37,217496,3634,5,-11,-2,35,-21,-15,1,610,2022.09,231.4901639,-131.4901639,2022,231.4754098,-131.4754098
334,51,237836,4062,4,-20,-12,19,-18,-15,5,1893,2602.586,37.48473323,62.51526677,2603,37.50660328,62.49339672
188,13,97534,2878,18,-12,-4,20,-32,-41,11,1642,3088.056,88.06674787,11.93325213,3088,88.06333739,11.93666261
234,51,112072,2443,7,-15,-5,74,-31,-39,11,1212,968.268,20.10990099,79.89009901,968,20.1320132,79.8679868
110,1,4946,165,52,-45,-24,-44,-45,-37,12,223,642.846,188.2717489,-88.27174888,643,188.3408072,-88.34080717
174,28,22287,978,40,-4,0,17,2,-28,7,1646,817.122,50.35710814,49.64289186,817,50.36452005,49.63547995
325,1,228373,3451,32,-12,-4,7,-7,-21,6,2463,2727.285,10.73020706,89.26979294,2727,10.71863581,89.28136419
268,1,148206,2480,-8,-17,-10,-14,-12,-25,8,1053,940.13,10.71889839,89.28110161,940,10.73124406,89.26875594
218,51,95867,2299,25,-9,0,79,-31,-41,11,818,1179.481,44.1908313,55.8091687,1179,44.13202934,55.86797066
293,13,364909,7657,19,-14,-6,35,-30,-28,7,1134,1530.042,34.92433862,65.07566138,1530,34.92063492,65.07936508
109,21,2707,144,7,-34,-3,67,-29,-29,9,185,197.111,6.546486486,93.45351351,197,6.486486486,93.51351351
278,12,707751,14671,43,-23,-15,-44,-42,-22,5,1813,2066.656,13.99095422,86.00904578,2067,14.0099283,85.9900717
210,1,82530,1493,1,-9,-1,24,-4,-30,9,1260,1578.05,25.24206349,74.75793651,1578,25.23809524,74.76190476
118,21,4146,213,5,-20,-1,55,-27,-42,15,72,151.703,110.6986111,-10.69861111,152,111.1111111,-11.11111111
311,51,190874,3704,22,-17,-8,41,-32,-32,11,2103,1471.825,30.01307656,69.98692344,1472,30.00475511,69.99524489
90,45,925,18,2,-30,-8,-1,-30,-36,13,151,126.895,15.96357616,84.03642384,127,15.89403974,84.10596026
83,47,615,2,0,-32,-2,-16,-27,-34,15,110,93.366,15.12181818,84.87818182,93,15.45454545,84.54545455
189,47,53514,665,12,-1,5,103,-9,-33,8,1359,1546.057,13.76431199,86.23568801,1546,13.76011773,86.23988227
266,21,62731,1119,7,-11,0,79,-4,-28,6,814,782.68,3.847665848,96.15233415,783,3.808353808,96.19164619
320,21,137586,1661,3,-17,-3,16,-6,-13,4,1449,2286.893,57.82560386,42.17439614,2287,57.83298827,42.16701173
274,45,147942,3378,19,-5,-3,23,-6,-25,5,308,842.768,173.625974,-73.62597403,843,173.7012987,-73.7012987
223,51,101746,2344,17,-12,-4,69,-34,-39,11,996,911.599,8.473995984,91.52600402,912,8.43373494,91.56626506
246,37,173509,2779,38,-12,-4,45,-25,-33,8,1216,1771.585,45.68955592,54.31044408,1772,45.72368421,54.27631579
265,12,677362,13317,21,-24,-17,-32,-40,-33,9,1671,1753.833,4.957091562,95.04290844,1754,4.967085577,95.03291442
287,12,729591,15531,119,-22,-13,-21,-37,-30,8,2657,3317.556,24.86097102,75.13902898,3318,24.8776816,75.1223184
142,51,34950,1136,37,-27,-6,14,-41,-45,18,813,968.59,19.13776138,80.86223862,969,19.18819188,80.81180812
90,13,3224,103,19,-34,-10,2,-47,-44,16,389,451.659,16.10771208,83.89228792,452,16.19537275,83.80462725
145,51,37727,1208,37,-29,-7,62,-40,-27,7,1483,1116.482,24.7146325,75.2853675,1116,24.74713419,75.25286581
277,12,705938,14628,74,-22,-14,-33,-42,-19,4,2726,2885.292,5.843433602,94.1565664,2885,5.832721937,94.16727806
86,45,456,9,2,-31,-6,-5,-24,-35,15,32,85.112,165.975,-65.975,85,165.625,-65.625
101,37,3908,74,9,-36,-6,12,-52,-57,21,257,341.564,32.90428016,67.09571984,342,33.07392996,66.92607004
253,12,644781,12115,200,-24,-17,-29,-42,-33,9,2006,3407.82,69.88135593,30.11864407,3408,69.89032901,30.10967099
175,37,54470,1251,28,-9,3,77,-21,-34,10,854,1445.01,69.20491803,30.79508197,1445,69.20374707,30.79625293
78,47,98,0,0,-15,14,21,-13,-22,9,25,26.83,7.32,92.68,27,8,92
205,12,385091,5518,173,-25,-16,-31,-43,-37,13,10171,9728.832,4.347340478,95.65265952,9729,4.345688723,95.65431128
109,47,6763,145,4,-33,-4,2,-28,-27,9,433,210.049,51.48983834,48.51016166,210,51.50115473,48.49884527
252,12,642775,11915,44,-25,-15,-30,-38,-35,9,1797,2124.807,18.24190317,81.75809683,2125,18.25264329,81.74735671
88,13,2592,79,14,-39,-10,14,-43,-28,12,225,313.395,39.28666667,60.71333333,313,39.11111111,60.88888889
190,45,48909,884,38,-5,2,36,-1,-32,9,1557,1509.012,3.082080925,96.91791908,1509,3.082851638,96.91714836
228,45,105882,2260,56,-12,0,50,3,-13,3,1041,1281.958,23.14678194,76.85321806,1282,23.15081652,76.84918348
330,21,166139,1835,26,-5,27,1,-6,-38,9,3301,2620.086,20.62750682,79.37249318,2620,20.63011209,79.36988791
75,37,32,0,0,-8,13,-3,-14,-9,3,9,5.52,38.66666667,61.33333333,6,33.33333333,66.66666667
330,12,946956,18254,97,-4,15,-20,-24,-37,7,8126,6800.269,16.31468127,83.68531873,6800,16.31799163,83.68200837
222,1,101334,1768,17,-11,1,49,5,-17,3,981,1270.032,29.46299694,70.53700306,1270,29.45973496,70.54026504
180,1,36350,924,1,-10,1,58,11,-13,3,1245,732.666,41.1513253,58.8486747,733,41.12449799,58.87550201
101,47,4863,98,4,-36,-5,-5,-39,-53,20,228,244.044,7.036842105,92.96315789,244,7.01754386,92.98245614
153,12,55415,2460,9,-21,-9,-24,-42,-33,11,651,709.667,9.011827957,90.98817204,710,9.062980031,90.93701997
274,28,98886,2979,10,-4,-3,20,9,-19,3,696,752.713,8.14841954,91.85158046,753,8.189655172,91.81034483
214,51,91782,2218,3,-16,3,93,-16,-13,4,981,1063.374,8.396941896,91.6030581,1063,8.358817533,91.64118247
102,51,5077,130,9,-40,-9,17,-49,-36,13,568,336.28,40.79577465,59.20422535,336,40.84507042,59.15492958
149,1,16729,594,10,-6,7,31,-4,-28,10,467,372.855,20.15952891,79.84047109,373,20.12847966,79.87152034
154,21,10185,442,3,-5,12,95,-10,-32,9,139,256.605,84.60791367,15.39208633,257,84.89208633,15.10791367
257,47,171824,2078,14,-12,-3,49,-12,-18,2,933,1585.229,69.90664523,30.09335477,1585,69.88210075,30.11789925
242,12,612206,11105,148,-26,-16,-22,-45,-20,5,3132,3440.804,9.859642401,90.1403576,3441,9.865900383,90.13409962
248,47,160597,1837,22,-7,0,83,-6,-30,5,1051,1401.303,33.33044719,66.66955281,1401,33.30161751,66.69838249
302,21,101494,1442,14,-13,-1,31,-7,-25,7,1857,1592.565,14.23990307,85.76009693,1593,14.21647819,85.78352181
246,21,49991,966,18,-10,1,64,-8,-30,7,806,774.115,3.955955335,96.04404467,774,3.970223325,96.02977667
103,13,12203,447,15,-63,-42,-57,-65,-49,14,157,750.857,378.2528662,-278.2528662,751,378.343949,-278.343949
267,28,95310,2874,4,-11,-9,0,1,-20,6,737,542.602,26.37693351,73.62306649,543,26.3229308,73.6770692
320,13,424989,8957,1,-14,-7,13,-29,-16,3,2084,1899.646,8.846161228,91.15383877,1900,8.829174664,91.17082534
321,51,206763,3835,30,-17,-6,13,-36,-32,11,2125,2114.438,0.497035294,99.50296471,2114,0.517647059,99.48235294
122,13,26176,1167,56,-21,-2,45,-41,-43,15,935,732.364,21.67229947,78.32770053,732,21.71122995,78.28877005
160,51,51738,1496,19,-16,-3,70,-35,-38,13,487,632.261,29.82772074,70.17227926,632,29.77412731,70.22587269
288,37,236407,3856,40,-11,-3,49,-23,-29,7,1926,2039.413,5.888525441,94.11147456,2039,5.867082035,94.13291796
92,13,4806,154,24,-30,1,-5,-44,-47,18,570,513.979,9.828245614,90.17175439,514,9.824561404,90.1754386
262,45,136318,3177,19,-9,-4,23,-7,-26,5,872,859.744,1.405504587,98.59449541,860,1.376146789,98.62385321
226,37,142636,2287,38,-12,-2,41,-24,-35,9,1978,1294.45,34.55763397,65.44236603,1294,34.58038423,65.41961577
178,21,14859,553,7,-9,6,141,-3,-32,8,242,297.998,23.13966942,76.86033058,298,23.14049587,76.85950413
206,21,25931,691,7,-11,3,135,-6,-32,8,784,633.149,19.24119898,80.75880102,633,19.26020408,80.73979592
95,13,6353,208,10,-50,-18,-18,-53,-36,16,422,402.906,4.52464455,95.47535545,403,4.502369668,95.49763033
164,28,19348,889,21,-4,2,50,2,-26,6,865,549.587,36.46393064,63.53606936,550,36.41618497,63.58381503
188,51,66740,1881,28,-11,-1,75,-29,-42,12,638,723.127,13.34278997,86.65721003,723,13.32288401,86.67711599
238,21,44568,895,10,-12,1,80,-9,-32,7,669,719.485,7.546337818,92.45366218,719,7.473841555,92.52615845
228,37,145508,2343,30,-16,-3,41,-20,-15,4,1662,1444.299,13.09873646,86.90126354,1444,13.11672684,86.88327316
113,28,5153,201,18,-18,-2,-5,-21,-38,14,437,241.465,44.74485126,55.25514874,241,44.85125858,55.14874142
260,13,313535,6419,21,-16,-12,-8,-36,-33,10,2669,1549.274,41.95301611,58.04698389,1549,41.96328213,58.03671787
248,13,290938,5931,63,-11,-4,56,-23,-35,7,2298,2401.648,4.510356832,95.48964317,2402,4.5256745,95.4743255
122,12,34728,1314,46,-36,-13,-27,-51,-43,18,1038,855.509,17.58102119,82.41897881,856,17.53371869,82.46628131
300,13,377553,7827,18,-15,-6,25,-30,-28,7,1346,1744.012,29.56998514,70.43001486,1744,29.56909361,70.43090639
139,45,8942,391,6,-10,-1,15,-14,-30,11,126,201.139,59.63412698,40.36587302,201,59.52380952,40.47619048
284,21,79445,1249,7,-12,2,111,6,-9,2,989,1116.981,12.94044489,87.05955511,1117,12.94236603,87.05763397
195,37,87756,1510,7,-9,2,77,-23,-35,9,1846,1780.254,3.561538462,96.43846154,1780,3.575297941,96.42470206
300,51,175409,3600,19,-16,-6,24,-34,-32,11,1134,1210.555,6.750881834,93.24911817,1211,6.790123457,93.20987654
134,13,33331,1505,41,-16,-2,32,-39,-40,14,558,609.691,9.263620072,90.73637993,610,9.318996416,90.68100358
324,37,325158,4936,38,-15,-2,2,-31,-28,9,4296,3430.966,20.13580074,79.86419926,3431,20.13500931,79.86499069
191,12,229367,4009,56,-22,-10,-12,-39,-36,12,8891,9492.638,6.76682038,93.23317962,9493,6.770891913,93.22910809
192,21,18670,620,8,-10,5,127,-4,-33,8,425,456.531,7.419058824,92.58094118,457,7.529411765,92.47058824
297,47,241513,3076,65,-10,-5,64,-9,-24,5,3606,2419.166,32.91275652,67.08724348,2419,32.91735996,67.08264004
213,13,190734,3752,81,-11,-3,63,-30,-37,9,4308,4241.694,1.53913649,98.46086351,4242,1.532033426,98.46796657
221,45,99460,2007,45,-10,3,80,7,-11,2,1241,1385.318,11.62917002,88.37082998,1385,11.60354553,88.39645447
190,1,46991,1057,25,-3,3,40,1,-31,8,1170,1509.631,29.0282906,70.9717094,1510,29.05982906,70.94017094
121,1,7306,280,20,-18,3,15,-18,-37,14,201,283.108,40.84975124,59.15024876,283,40.7960199,59.2039801
103,12,19337,461,15,-66,-49,-63,-69,-50,15,892,740.144,17.02421525,82.97578475,740,17.04035874,82.95964126
293,1,173485,2789,1,-12,-4,18,-8,-22,5,859,1080.958,25.83911525,74.16088475,1081,25.84400466,74.15599534
155,45,12651,518,17,2,8,49,3,-28,8,236,519.816,120.2610169,-20.26101695,520,120.3389831,-20.33898305
87,37,764,3,1,-35,-6,38,-45,-39,16,128,118.223,7.63828125,92.36171875,118,7.8125,92.1875
249,37,178932,2889,50,-12,2,121,-14,-16,1,1586,1649.481,4.00258512,95.99741488,1649,3.972257251,96.02774275
250,37,180031,2890,1,-9,1,105,-23,-19,1,1099,1295.303,17.86196542,82.13803458,1295,17.8343949,82.1656051
223,21,35254,775,2,-9,0,65,-9,-32,9,272,438.855,61.34375,38.65625,439,61.39705882,38.60294118
218,45,95472,1894,47,-7,-2,34,-4,-32,8,1282,1394.666,8.788299532,91.21170047,1395,8.814352574,91.18564743
211,47,100822,1020,21,-4,2,87,-13,-32,8,1778,2497.357,40.4587739,59.5412261,2497,40.43869516,59.56130484
76,28,12,0,0,4,25,24,4,-14,4,2,3.39,69.5,30.5,3,50,50
129,47,14512,241,4,-21,-1,-21,-26,-37,15,346,370.427,7.05982659,92.94017341,370,6.936416185,93.06358382
143,13,39387,1808,50,-16,-1,51,-33,-38,13,1031,612.131,40.62744908,59.37255092,612,40.64015519,59.35984481
191,13,107333,2930,8,-10,-1,21,-32,-38,12,2838,2961.342,4.346088795,95.65391121,2961,4.334038055,95.66596195
117,12,30680,1074,19,-47,-23,-52,-63,-40,12,684,671.857,1.775292398,98.2247076,672,1.754385965,98.24561404
264,1,144962,2437,0,-11,-2,46,-2,-16,2,798,875.961,9.769548872,90.23045113,876,9.77443609,90.22556391
71,51,15,0,0,7,9,40,0,-1,0,7,3.971,43.27142857,56.72857143,4,42.85714286,57.14285714
252,13,297429,6070,26,-14,-4,28,-29,-35,9,1744,1647.49,5.533830275,94.46616972,1647,5.561926606,94.43807339
321,28,135803,3581,36,-11,-7,-1,3,-18,4,905,1504.419,66.23414365,33.76585635,1504,66.1878453,33.8121547
261,12,666507,13086,147,-24,-16,-24,-39,-33,9,3273,2617.259,20.03486098,79.96513902,2617,20.04277421,79.95722579
173,51,58465,1620,9,-16,1,104,-22,-14,3,471,661.902,40.53121019,59.46878981,662,40.55201699,59.44798301
212,47,102871,1033,13,-6,0,62,-12,-33,8,2049,2405.754,17.41112738,82.58887262,2406,17.42313324,82.57686676
289,37,238939,3874,18,-11,-1,52,-20,-29,7,2532,2075.276,18.03807267,81.96192733,2075,18.04897314,81.95102686
226,13,234964,4538,82,-12,-4,17,-30,-37,10,2816,3583.444,27.25298295,72.74701705,3583,27.23721591,72.76278409
86,12,2352,29,6,-40,-14,-34,-51,-42,18,491,448.264,8.703869654,91.29613035,448,8.757637475,91.24236253
163,13,54011,2375,46,-9,2,44,-35,-35,11,1101,583.783,46.97702089,53.02297911,584,46.95731153,53.04268847
181,47,42297,592,8,-3,-1,65,-11,-31,9,2125,1224.931,42.35618824,57.64381176,1225,42.35294118,57.64705882
295,21,90996,1363,21,-11,0,75,-3,-25,6,1452,1320.572,9.051515152,90.94848485,1321,9.022038567,90.97796143
128,47,14166,237,-2,-12,6,35,-20,-35,11,228,244.381,7.184649123,92.81535088,244,7.01754386,92.98245614
270,13,330612,6914,40,-13,-6,58,-25,-11,2,1442,1820.054,26.21733703,73.78266297,1820,26.21359223,73.78640777
234,47,140844,1549,61,-12,-6,47,-14,-30,8,1669,1335.14,20.00359497,79.99640503,1335,20.01198322,79.98801678
87,13,2367,65,5,-35,-9,33,-45,-42,18,524,260.506,50.2851145,49.7148855,261,50.19083969,49.80916031
257,12,656485,12608,8,-27,-18,-42,-46,-23,6,2395,1923.666,19.67991649,80.32008351,1924,19.66597077,80.33402923
279,1,159713,2559,1,-7,-2,21,-6,-24,4,544,889.385,63.48988971,36.51011029,889,63.41911765,36.58088235
197,37,91563,1568,16,-9,1,64,-25,-35,9,1816,1878.821,3.459306167,96.54069383,1879,3.469162996,96.530837
240,13,272456,5393,82,-15,-7,20,-33,-33,10,2819,2645.197,6.165413267,93.83458673,2645,6.172401561,93.82759844
83,37,297,0,0,-32,-5,-17,-41,-33,14,42,77.282,84.0047619,15.9952381,77,83.33333333,16.66666667
316,28,130665,3514,17,-7,-5,6,5,-24,6,1271,1279.651,0.680645161,99.31935484,1280,0.708103855,99.29189614
221,21,34758,772,8,-9,10,236,12,-8,0,962,840.103,12.67120582,87.32879418,840,12.68191268,87.31808732
249,51,126926,2678,1,-14,3,144,-16,-16,1,1199,810.391,32.41109258,67.58890742,810,32.44370309,67.55629691
162,21,11883,484,7,-4,11,81,-9,-32,9,175,253.854,45.05942857,54.94057143,254,45.14285714,54.85714286
253,13,299621,6128,58,-14,-7,37,-31,-34,8,2192,2148.969,1.963093066,98.03690693,2149,1.961678832,98.03832117
149,37,25413,827,33,-15,0,21,-30,-34,13,784,896.73,14.37882653,85.62117347,897,14.41326531,85.58673469
311,28,125885,3433,14,-13,-12,0,1,-18,4,1031,1077.044,4.465955383,95.53404462,1077,4.461687682,95.53831232
157,51,49397,1460,7,-22,-3,50,-35,-40,15,865,795.941,7.983699422,92.01630058,796,7.976878613,92.02312139
107,47,6262,141,7,-25,-3,1,-31,-42,15,426,194.906,54.24741784,45.75258216,195,54.22535211,45.77464789
216,51,94251,2244,26,-12,0,27,-36,-40,13,1145,1145.078,0.006812227,99.99318777,1145,0,100
301,12,776215,16505,56,-21,-12,-23,-36,-29,8,4226,4000.865,5.327378135,94.67262186,4001,5.324183625,94.67581637
286,28,105941,3115,14,-10,-8,18,4,-27,6,1009,883.527,12.43538157,87.56461843,884,12.38850347,87.61149653
309,47,269802,3478,24,-12,-4,35,-18,-23,7,3445,2492.357,27.65291727,72.34708273,2492,27.66328012,72.33671988
148,28,14372,692,21,1,5,22,-2,-28,9,328,414.596,26.40121951,73.59878049,415,26.52439024,73.47560976
285,45,157406,3552,1,-11,-5,3,6,-16,4,785,861.148,9.700382166,90.29961783,861,9.681528662,90.31847134
206,1,76136,1439,40,-11,-3,37,0,-30,10,1792,1753.623,2.141573661,97.85842634,1754,2.120535714,97.87946429
284,45,156621,3551,21,-12,-3,31,-5,-10,3,945,903.579,4.383174603,95.6168254,904,4.338624339,95.66137566
319,28,134309,3543,3,-10,-6,23,6,-11,2,969,1529.175,57.80959752,42.19040248,1529,57.79153767,42.20846233
202,12,355899,5072,90,-23,-14,-20,-42,-37,11,10287,9748.722,5.232604258,94.76739574,9749,5.229901818,94.77009818
320,37,312235,4806,50,-14,-4,13,-28,-14,3,3117,3691.647,18.4358999,81.5641001,3692,18.4472249,81.5527751
324,28,140429,3642,23,-11,-5,2,4,-19,5,1638,1619.09,1.154456654,98.84554335,1619,1.15995116,98.84004884
250,45,124952,2887,10,0,5,96,3,-20,1,663,937.719,41.43574661,58.56425339,938,41.47812971,58.52187029
248,28,85939,2558,22,-8,-3,30,13,-26,4,823,750.434,8.817253949,91.18274605,750,8.869987849,91.13001215
68,45,6,0,0,12,7,38,24,2,-1,4,5.539,38.475,61.525,6,50,50
164,45,17170,593,5,-6,5,44,4,-29,8,729,514.437,29.43251029,70.56748971,514,29.49245542,70.50754458
146,13,41622,1830,3,-23,-4,67,-51,-70,20,532,735.178,38.19135338,61.80864662,735,38.15789474,61.84210526
155,21,10410,450,8,-3,16,98,-10,-32,9,225,272.982,21.32533333,78.67466667,273,21.33333333,78.66666667
97,37,2870,33,2,-36,-10,22,-46,-44,16,285,225.327,20.93789474,79.06210526,225,21.05263158,78.94736842
199,47,73819,815,19,-9,1,89,-9,-32,8,2279,2205.644,3.218780167,96.78121983,2206,3.20315928,96.79684072
78,37,62,0,0,-22,9,28,-23,-25,10,22,15.065,31.52272727,68.47727273,15,31.81818182,68.18181818
84,1,242,0,0,-32,-5,4,-18,-34,15,46,81.281,76.69782609,23.30217391,81,76.08695652,23.91304348
121,28,7212,282,32,-10,6,15,-14,-35,12,643,291.649,54.64245723,45.35754277,292,54.58786936,45.41213064
152,37,28590,886,9,-15,1,75,-25,-15,4,916,732.34,20.05021834,79.94978166,732,20.08733624,79.91266376
237,37,158678,2535,4,-15,-3,48,-26,-33,8,1389,1427.299,2.757307415,97.24269258,1427,2.735781138,97.26421886
212,13,186426,3671,29,-11,-3,18,-33,-38,11,4183,3934.788,5.933827397,94.0661726,3935,5.928759264,94.07124074
105,12,20984,571,72,-46,-23,-52,-56,-48,20,590,993.706,68.42474576,31.57525424,994,68.47457627,31.52542373
161,51,52177,1514,18,-15,1,85,-33,-39,13,439,650.125,48.09225513,51.90774487,650,48.06378132,51.93621868
318,12,858585,17445,73,-21,-12,-24,-37,-27,8,6760,5447.24,19.41952663,80.58047337,5447,19.42307692,80.57692308
247,51,124779,2662,10,-11,0,59,-29,-39,10,1111,1035.196,6.823042304,93.1769577,1035,6.840684068,93.15931593
230,1,109004,1925,27,-9,-2,30,-3,-29,6,571,1101.956,92.98704028,7.01295972,1102,92.99474606,7.00525394
98,37,3221,46,13,-36,-9,24,-44,-45,18,351,258.855,26.25213675,73.74786325,259,26.21082621,73.78917379
123,28,7441,291,10,-16,8,28,-15,-22,6,229,199.575,12.84934498,87.15065502,200,12.66375546,87.33624454
121,47,10735,199,7,-18,2,0,-25,-39,14,603,282.922,53.08092869,46.91907131,283,53.06799337,46.93200663
135,13,33657,1527,22,-17,-2,21,-40,-40,15,326,707.033,116.8812883,-16.88128834,707,116.8711656,-16.87116564
330,51,228901,4029,21,2,28,25,-26,-43,11,2600,2565.617,1.322423077,98.67757692,2566,1.307692308,98.69230769
91,1,999,13,7,-36,-11,-23,-26,-40,17,52,135.258,160.1115385,-60.11153846,135,159.6153846,-59.61538462
302,1,187706,2911,19,-13,-3,-15,-14,-24,7,1269,1384.704,9.117730496,90.8822695,1385,9.14105595,90.85894405
273,1,153554,2517,16,-11,-7,9,-10,-22,6,571,1321.634,131.4595447,-31.45954466,1322,131.5236427,-31.52364273
282,47,209447,2705,63,-8,-2,69,-9,-27,5,1992,1818.54,8.707831325,91.29216867,1819,8.684738956,91.31526104
88,21,394,9,1,-38,-6,100,-28,-29,9,92,95.462,3.763043478,96.23695652,95,3.260869565,96.73913043
202,45,71445,1164,9,-7,1,47,-6,-31,8,1459,1713.722,17.45867032,82.54132968,1714,17.47772447,82.52227553
104,28,3087,111,13,-27,-9,-14,-28,-40,14,145,194.565,34.18275862,65.81724138,195,34.48275862,65.51724138
287,28,106817,3140,25,-8,-3,27,6,-20,4,876,905.942,3.41803653,96.58196347,906,3.424657534,96.57534247
193,21,19121,622,2,-12,9,211,11,-9,1,451,512.4,13.61419069,86.38580931,512,13.52549889,86.47450111
289,13,358533,7492,22,-11,-4,22,-29,-30,8,1864,1628.298,12.64495708,87.35504292,1628,12.66094421,87.33905579
233,13,254163,4904,55,-16,-8,-2,-33,-35,11,2939,2867.813,2.422150391,97.57784961,2868,2.415787683,97.58421232
120,1,7105,260,17,-22,-4,-11,-24,-39,16,158,286.543,81.35632911,18.64367089,287,81.64556962,18.35443038
172,45,23786,644,5,-4,15,104,17,-8,1,1155,1104.347,4.385541126,95.61445887,1104,4.415584416,95.58441558
238,12,599176,10580,183,-25,-15,-26,-42,-35,10,2665,4582.108,71.93651032,28.06348968,4582,71.93245779,28.06754221
96,12,11961,221,26,-57,-33,-70,-70,-45,15,788,1106.475,40.41560914,59.58439086,1106,40.35532995,59.64467005
282,45,154755,3514,12,-7,-3,36,0,-24,6,1050,878.673,16.31685714,83.68314286,879,16.28571429,83.71428571
104,13,13289,481,34,-38,-16,-6,-52,-48,18,1086,905.421,16.62790055,83.37209945,905,16.66666667,83.33333333
267,1,147153,2488,31,-8,-5,14,-7,-24,6,569,972.608,70.93286467,29.06713533,973,71.00175747,28.99824253
248,1,130393,2266,33,-5,1,40,7,-29,5,1108,1214.585,9.619584838,90.38041516,1215,9.657039711,90.34296029
239,37,161466,2606,36,-13,-3,50,-27,-32,8,1342,1686.575,25.67622951,74.32377049,1687,25.70789866,74.29210134
327,45,206295,4283,9,-8,0,6,4,-11,3,1277,1705.17,33.5293657,66.4706343,1705,33.51605325,66.48394675
315,21,124646,1590,14,-13,-1,37,-7,-26,7,2079,2007.315,3.448051948,96.55194805,2007,3.463203463,96.53679654
248,51,125727,2677,15,-12,1,85,-26,-40,10,948,952.068,0.429113924,99.57088608,952,0.421940928,99.57805907
90,1,947,6,2,-33,-10,10,-25,-38,14,117,129.437,10.62991453,89.37008547,129,10.25641026,89.74358974
126,28,8422,374,32,-5,11,15,-10,-33,11,215,344.51,60.2372093,39.7627907,345,60.46511628,39.53488372
231,21,40299,830,12,-11,1,65,-11,-30,7,608,658.909,8.373190789,91.62680921,659,8.388157895,91.61184211
273,28,98190,2969,48,-8,-4,24,3,-18,4,1141,1075.344,5.754250657,94.24574934,1075,5.784399649,94.21560035
