days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
84,37,398,0,0,-31,-4,-8,-38,-34,15,101,86.994
314,47,287770,3610,15,-10,-5,33,-14,-23,7,5919,2995.561
205,1,74344,1399,36,-8,2,31,1,-30,9,2458,1786.75
301,51,176754,3616,16,-15,-4,50,-32,-34,10,1345,1201.995
265,45,138124,3212,13,-7,-3,44,-6,-25,5,416,845.008
280,51,153691,3303,12,-13,-2,67,-34,-35,9,509,1007.97
77,21,26,0,0,-19,17,33,-6,-19,8,4,11.786
92,45,1293,26,4,-30,-3,-26,-26,-40,15,210,174.161
334,28,153270,3807,1,-23,-20,-34,14,-24,7,1485,1603.485
76,12,142,5,1,-6,14,0,-16,-18,6,6,59.519
206,45,78607,1385,51,-11,-2,37,-1,-31,9,2001,1692.427
219,45,96797,1943,49,-8,-2,34,-4,-31,9,1325,1489.133
169,28,20641,938,-1,8,9,55,8,-26,6,0,109.825
105,45,3553,97,10,-29,-6,-11,-27,-41,15,114,182.429
305,1,192285,2967,35,-11,6,47,-6,-9,-1,1789,1413.265
133,12,41923,1779,44,-30,-12,-24,-45,-39,15,941,544.629
329,12,938830,18157,72,-11,1,-21,-28,-34,8,8102,6858.713
304,21,105242,1476,15,-9,3,45,-6,-26,6,1937,1648.486
108,28,3793,140,0,-27,-9,-6,-29,-39,16,0,48.684
72,13,88,1,1,8,24,23,-2,-1,0,33,29.458
228,21,38930,810,6,-10,8,183,4,-11,1,632,702.443
332,37,354514,5210,72,-23,-15,51,-40,-60,16,8008,3479.812
289,21,84195,1296,20,-12,1,41,-3,-27,7,1182,1182.151
296,45,167485,3755,47,-8,-4,29,-3,-23,6,1128,1007.867
251,45,125607,2907,20,-8,-2,90,-8,-66,15,655,918.386
273,13,333811,6994,33,-16,-7,-21,-35,-31,10,1368,1598.22
240,45,114598,2628,55,-9,-3,31,-5,-28,7,505,1025.372
316,13,413415,8333,-397,-12,-8,-15,-33,-34,11,2232,1831.062
214,47,108184,1067,7,-6,7,108,1,-10,2,2225,1821.443
297,1,180916,2859,16,-11,-6,20,-8,-22,5,3852,1275.049
185,47,48712,633,13,1,19,157,-11,-55,11,1822,1539.431
116,28,5718,221,12,-26,-2,3,-25,-25,9,284,210.83
126,51,20256,713,29,-28,-6,5,-45,-47,19,764,929.299
93,13,5443,176,22,-29,11,-15,-46,-47,19,637,552.116
268,47,187544,2310,35,-12,-6,14,-16,-25,8,835,1482.352
142,1,13647,534,10,-5,9,40,-4,-30,10,347,311.622
