days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
319,28,134309,3543,3,-10,-6,23,6,-11,2,969,1529.175
202,12,355899,5072,90,-23,-14,-20,-42,-37,11,10287,9748.722
320,37,312235,4806,50,-14,-4,13,-28,-14,3,3117,3691.647
324,28,140429,3642,23,-11,-5,2,4,-19,5,1638,1619.09
184,28,28770,1092,0,10,13,41,10,-31,7,0,312.564
250,45,124952,2887,10,0,5,96,3,-20,1,663,937.719
248,28,85939,2558,22,-8,-3,30,13,-26,4,823,750.434
68,45,6,0,0,12,7,38,24,2,-1,4,5.539
164,45,17170,593,5,-6,5,44,4,-29,8,729,514.437
146,13,41622,1830,3,-23,-4,67,-51,-70,20,532,735.178
155,21,10410,450,8,-3,16,98,-10,-32,9,225,272.982
97,37,2870,33,2,-36,-10,22,-46,-44,16,285,225.327
199,47,73819,815,19,-9,1,89,-9,-32,8,2279,2205.644
78,37,62,0,0,-22,9,28,-23,-25,10,22,15.065
84,1,242,0,0,-32,-5,4,-18,-34,15,46,81.281
121,28,7212,282,32,-10,6,15,-14,-35,12,643,291.649
152,37,28590,886,9,-15,1,75,-25,-15,4,916,732.34
237,37,158678,2535,4,-15,-3,48,-26,-33,8,1389,1427.299
212,13,186426,3671,29,-11,-3,18,-33,-38,11,4183,3934.788
105,12,20984,571,72,-46,-23,-52,-56,-48,20,590,993.706
161,51,52177,1514,18,-15,1,85,-33,-39,13,439,650.125
318,12,858585,17445,73,-21,-12,-24,-37,-27,8,6760,5447.24
247,51,124779,2662,10,-11,0,59,-29,-39,10,1111,1035.196
230,1,109004,1925,27,-9,-2,30,-3,-29,6,571,1101.956
98,37,3221,46,13,-36,-9,24,-44,-45,18,351,258.855
123,28,7441,291,10,-16,8,28,-15,-22,6,229,199.575
120,28,6569,250,0,-11,2,-7,-18,-37,14,0,14.276
121,47,10735,199,7,-18,2,0,-25,-39,14,603,282.922
135,13,33657,1527,22,-17,-2,21,-40,-40,15,326,707.033
330,51,228901,4029,21,2,28,25,-26,-43,11,2600,2565.617
91,1,999,13,7,-36,-11,-23,-26,-40,17,52,135.258
302,1,187706,2911,19,-13,-3,-15,-14,-24,7,1269,1384.704
273,1,153554,2517,16,-11,-7,9,-10,-22,6,571,1321.634
282,47,209447,2705,63,-8,-2,69,-9,-27,5,1992,1818.54
88,21,394,9,1,-38,-6,100,-28,-29,9,92,95.462
202,45,71445,1164,9,-7,1,47,-6,-31,8,1459,1713.722
104,28,3087,111,13,-27,-9,-14,-28,-40,14,145,194.565
287,28,106817,3140,25,-8,-3,27,6,-20,4,876,905.942
193,21,19121,622,2,-12,9,211,11,-9,1,451,512.4
289,13,358533,7492,22,-11,-4,22,-29,-30,8,1864,1628.298
233,13,254163,4904,55,-16,-8,-2,-33,-35,11,2939,2867.813
120,1,7105,260,17,-22,-4,-11,-24,-39,16,158,286.543
172,45,23786,644,5,-4,15,104,17,-8,1,1155,1104.347
238,12,599176,10580,183,-25,-15,-26,-42,-35,10,2665,4582.108
96,12,11961,221,26,-57,-33,-70,-70,-45,15,788,1106.475
282,45,154755,3514,12,-7,-3,36,0,-24,6,1050,878.673
104,13,13289,481,34,-38,-16,-6,-52,-48,18,1086,905.421
267,1,147153,2488,31,-8,-5,14,-7,-24,6,569,972.608
248,1,130393,2266,33,-5,1,40,7,-29,5,1108,1214.585
239,37,161466,2606,36,-13,-3,50,-27,-32,8,1342,1686.575
327,45,206295,4283,9,-8,0,6,4,-11,3,1277,1705.17
315,21,124646,1590,14,-13,-1,37,-7,-26,7,2079,2007.315
248,51,125727,2677,15,-12,1,85,-26,-40,10,948,952.068
90,1,947,6,2,-33,-10,10,-25,-38,14,117,129.437
126,28,8422,374,32,-5,11,15,-10,-33,11,215,344.51
231,21,40299,830,12,-11,1,65,-11,-30,7,608,658.909
273,28,98190,2969,48,-8,-4,24,3,-18,4,1141,1075.344
185,12,175718,3684,67,-19,0,-6,-42,-53,16,9415,5052.151
184,51,63735,1816,30,-2,12,112,-23,-41,10,532,783.569
171,21,13454,522,2,-8,9,147,-5,-33,6,257,221.254
218,1,94819,1698,30,-2,4,51,0,-30,7,972,1403.234
169,47,32143,497,4,1,8,98,-12,-29,7,313,677.859
131,45,7653,331,1,-17,11,26,-14,-26,4,122,114.652
314,13,406904,8223,29,-15,-7,12,-32,-27,8,1648,2660.755
234,37,154018,2494,29,-15,-4,46,-26,-33,9,2075,1777.953
265,28,94021,2846,36,-7,-7,20,2,-21,4,465,789.872
333,37,357958,5219,9,-20,-12,41,-24,-17,4,3444,2904.941
218,12,497181,7627,225,-23,-16,-21,-42,-37,11,5408,5697.668
237,13,264540,5156,24,-18,-9,7,-35,-34,10,2441,2024.696
88,45,660,15,2,-35,-4,12,-32,-25,9,121,103.417
148,45,10623,466,20,-11,-3,-4,-6,-31,12,207,383.142
182,45,36399,739,19,0,6,48,1,-30,9,1755,1126.003
327,1,232506,3457,0,-12,0,15,-1,-12,3,1798,2147.581
289,28,109255,3160,8,-9,-5,16,8,-18,4,1116,921.25
139,21,7935,346,12,-22,-3,3,-25,-36,14,247,217.971
242,21,47577,921,3,-12,3,135,-2,-9,2,820,530.268
163,37,39483,1064,11,-11,2,46,-27,-33,11,1310,998.965
282,51,156649,3344,16,-15,-3,62,-30,-35,10,1114,1272.449
100,12,16323,371,48,-46,-21,-46,-58,-50,21,1089,1102.528
237,51,114636,2495,24,-15,-6,56,-35,-38,11,1006,984.5
170,45,21548,621,4,-2,5,63,4,-28,8,992,622.938
332,1,242874,3572,0,-21,-16,12,-30,-59,17,917,2128.562
100,13,10693,413,42,-37,-10,-10,-51,-51,21,613,961.405
103,1,3583,61,1,-64,-47,-50,-51,-45,13,321,400.89
140,28,11967,570,15,0,7,34,-5,-28,9,263,370.182
197,13,129193,3091,37,-8,-1,38,-31,-38,11,4102,3737.669
