days,fips,new_case,tot_death,parks_%change,actual cases,predicted cases
74,28,5,0,41,6,16.296
170,21,202,520,93,13197,13179.011
174,37,805,1223,79,53616,49793.151
102,12,997,446,-54,18445,16401.384
236,12,3004,10325,-28,594287,591354.454
230,28,1071,2128,17,73207,80125.282
107,21,138,129,29,2429,2926.05
132,45,139,346,24,7792,8140.903
69,45,1,0,53,7,2.251
245,21,789,948,77,49185,48788.175
190,12,9882,3953,-14,220476,216866.114
236,13,1812,5132,33,262099,262296.611
95,51,395,52,4,2407,2858.111
96,1,208,31,-1,1841,1980.378
194,21,268,625,122,19389,19684.464
95,1,98,26,4,1633,1448.257
293,51,926,3485,41,167754,166089.553
205,37,1945,1726,44,107432,100529.876
85,21,35,5,69,198,290.771
265,1,818,2439,28,145780,145192.383
263,45,922,3188,67,137240,150793.55
171,1,803,823,72,29017,28059.485
98,21,141,65,55,1149,1512.889
218,47,1657,1144,101,114098,112566.247
240,12,3229,10868,-23,605342,606361.279
179,12,9518,3390,-13,130092,126012.244
274,21,984,1174,68,68840,68026.05
314,37,1521,4615,27,294860,291434.733
198,12,13764,4677,-15,311640,306063.588
311,47,1373,3541,38,273144,190514.083
298,37,2584,4144,100,258292,255757.265
255,1,1138,2333,38,136703,136921.223
220,21,542,764,159,33796,33479.62
127,13,802,1327,17,28998,30220.952
121,13,537,1111,-15,25241,29445.875
276,47,971,2515,62,198403,189637.941
99,13,1130,371,-6,10080,10245.841
318,1,2980,3231,11,213617,225414.463
328,47,4074,4301,18,344550,329213.776
239,47,1936,1648,69,147353,144651.542
82,37,71,0,-7,255,236.192
240,28,599,2413,8,81294,82844.885
248,21,792,987,133,51677,51956.327
163,51,564,1534,50,53211,53053.658
243,12,2547,11119,-34,614753,614740.3
197,1,1805,1211,42,59113,57799.989
151,47,484,366,133,22720,22469.729
289,45,1297,3607,25,161106,171052.403
304,28,824,3334,0,120160,120290.175
83,1,39,0,-11,196,220.356
100,1,339,48,5,2838,2819.237
129,28,288,422,-12,9378,10405.716
173,13,885,2643,50,64673,65883.561
191,28,1031,1215,38,34622,38231.094
128,37,639,507,29,13397,13126.428
135,21,145,328,90,7225,7240.049
236,21,463,881,123,43529,42933.95
254,37,1307,2990,49,184179,175127.651
295,51,1332,3524,56,170104,173214.715
138,45,155,385,51,8816,8499.922
220,51,1307,2322,76,99189,102041.298
284,47,1646,2758,29,212649,201308.826
317,12,5504,17372,-40,851825,848481.086
131,47,217,243,50,15060,14642.185
187,47,1291,646,79,51431,48095.181
161,12,1070,2765,-20,64448,64135.419
157,21,272,466,105,10977,11069.042
94,13,488,198,4,5931,6038.058
309,28,1612,3405,5,123887,189580.786
235,1,900,2011,53,114532,115516.401
244,45,668,2720,26,118992,120142.53
173,21,120,526,89,13750,13806.393
149,21,107,409,74,9184,9318.957
308,47,1770,3454,44,266357,233247.858
291,37,2102,3929,97,243725,241316.559
67,45,2,0,53,2,4.051
306,13,1435,7981,24,390428,389770.306
111,45,62,124,-25,4439,4427.355
288,45,926,3593,27,159809,161691.293
306,47,754,3353,38,261426,184044.467
201,13,3193,3173,51,145038,140508.004
282,21,868,1234,77,77455,77759.09
270,21,970,1154,175,66036,65799.692
268,13,1608,6822,-24,327158,341403.028
104,21,85,104,-16,2048,2716.801
251,37,1039,2897,134,181070,170069.109
176,13,1835,2698,25,69639,68754.595
326,28,779,3676,19,143180,143873.115
302,51,1429,3636,40,178183,176116.338
112,1,244,180,18,5668,5457.098
102,47,0,100,11,4863,4582.989
300,21,924,1410,12,97866,93663.079
190,21,400,608,97,17919,18653.646
314,51,1435,3726,29,194913,189871.349
168,47,670,493,108,31830,30711.866
297,28,1212,3255,6,115088,139889.281
303,45,1100,3889,-1,174591,176482.301
90,28,90,20,4,937,928.301
242,51,938,2569,46,119747,117886.211
317,28,1305,3519,9,131970,141953.243
154,28,301,782,43,16322,16925.958
103,28,300,98,-50,2942,3988.431
278,37,610,3634,35,217496,193334.335
334,51,1893,4062,19,237836,226687.83
152,21,0,431,153,9704,10036.726
188,13,1642,2878,20,97534,88964.264
234,51,1212,2443,74,112072,113261.41
110,1,223,165,-44,4946,5973.058
174,28,1646,978,17,22287,30726.655
325,1,2463,3451,7,228373,226418.649
268,1,1053,2480,-14,148206,150528.323
218,51,818,2299,79,95867,96861.323
293,13,1134,7657,35,364909,364863.683
109,21,185,144,67,2707,3302.409
278,12,1813,14671,-44,707751,706835.872
210,1,1260,1493,24,82530,74854.333
118,21,72,213,55,4146,4753.398
311,51,2103,3704,41,190874,232053.205
90,45,151,18,-1,925,1207.677
83,47,110,2,-16,615,389.731
189,47,1359,665,103,53514,50704.859
266,21,814,1119,79,62731,62364.224
320,21,1449,1661,16,137586,135474.713
274,45,308,3378,23,147942,144989.527
223,51,996,2344,69,101746,102371.457
246,37,1216,2779,45,173509,160302.47
265,12,1671,13317,-32,677362,675665.445
287,12,2657,15531,-21,729591,729521.54
142,51,813,1136,14,34950,35477.263
90,13,389,103,2,3224,4094.945
145,51,1483,1208,62,37727,38905.839
277,12,2726,14628,-33,705938,704093.997
86,45,32,9,-5,456,447.735
101,37,257,74,12,3908,3697.018
253,12,2006,12115,-29,644781,645071.173
175,37,854,1251,77,54470,50874.132
78,47,25,0,21,98,87.988
205,12,10171,5518,-31,385091,383089.244
109,47,433,145,2,6763,6394.106
252,12,1797,11915,-30,642775,639276.984
88,13,225,79,14,2592,2773.714
190,45,1557,884,36,48909,47848.207
228,45,1041,2260,50,105882,106521.67
330,21,3301,1835,1,166139,163113.795
75,37,9,0,-3,32,26.837
