days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
334,28,1485,1,-23,-20,-34,14,-24,7,3807,6310.266
76,12,6,1,-6,14,0,-16,-18,6,5,2.512
206,45,2001,51,-11,-2,37,-1,-31,9,1385,1395.105
219,45,1325,49,-8,-2,34,-4,-31,9,1943,1931.74
169,28,0,-1,8,9,55,8,-26,6,938,911.305
105,45,114,10,-29,-6,-11,-27,-41,15,97,109.921
305,1,1789,35,-11,6,47,-6,-9,-1,2967,2937.324
133,12,941,44,-30,-12,-24,-45,-39,15,1779,1665.179
329,12,8102,72,-11,1,-21,-28,-34,8,18157,17662.335
304,21,1937,15,-9,3,45,-6,-26,6,1476,1479.953
108,28,0,0,-27,-9,-6,-29,-39,16,140,132.878
72,13,33,1,8,24,23,-2,-1,0,1,2.154
228,21,632,6,-10,8,183,4,-11,1,810,833.859
332,37,8008,72,-23,-15,51,-40,-60,16,5210,5378.644
289,21,1182,20,-12,1,41,-3,-27,7,1296,1290.167
296,45,1128,47,-8,-4,29,-3,-23,6,3755,3719.583
251,45,655,20,-8,-2,90,-8,-66,15,2907,2831.083
273,13,1368,33,-16,-7,-21,-35,-31,10,6994,9182.642
240,45,505,55,-9,-3,31,-5,-28,7,2628,2541.29
316,13,2232,-397,-12,-8,-15,-33,-34,11,8333,8891.909
214,47,2225,7,-6,7,108,1,-10,2,1067,1133.295
297,1,3852,16,-11,-6,20,-8,-22,5,2859,3174.929
185,47,1822,13,1,19,157,-11,-55,11,633,738.478
116,28,284,12,-26,-2,3,-25,-25,9,221,217.257
126,51,764,29,-28,-6,5,-45,-47,19,713,683.352
93,13,637,22,-29,11,-15,-46,-47,19,176,133.365
268,47,835,35,-12,-6,14,-16,-25,8,2310,2554.284
142,1,347,10,-5,9,40,-4,-30,10,534,533.185
270,47,1437,22,-9,1,111,-8,-6,0,2374,2458.002
156,45,354,7,-2,7,38,2,-28,9,525,555.294
206,28,1434,17,-12,-7,18,-1,-30,9,1480,1441.894
133,37,301,27,-20,1,42,-31,-38,14,577,550.851
114,12,1052,60,-43,-21,-47,-55,-47,20,987,892.194
87,1,108,2,-30,-2,30,-24,-37,16,3,7.176
320,47,5817,16,-10,-2,16,-14,-15,3,3893,4076.751
246,13,2386,62,-11,-6,35,-31,-34,8,5795,5656.84
114,1,240,11,-35,-13,-31,-33,-42,20,198,307.441
148,37,488,28,-20,-6,-2,-32,-35,14,794,1052.863
86,21,50,0,-33,-6,84,-27,-41,15,5,5.414
128,45,206,11,-15,4,10,-15,-35,13,316,311.972
286,12,1519,48,-22,-15,-24,-36,-33,8,15412,13506.536
289,12,3286,141,-22,-13,-21,-34,-29,8,15736,15211.777
192,37,2007,18,-12,0,85,-21,-34,9,1479,1513.813
283,13,2011,54,-14,-8,27,-27,-31,8,7348,7366.999
208,21,315,4,-11,2,136,2,-15,2,700,798.433
74,28,5,0,3,21,41,10,0,-1,0,0.016
170,21,202,2,-6,9,93,-8,-32,8,520,527.601
174,37,805,3,-10,1,79,-23,-35,9,1223,1204.611
102,12,997,27,-49,-20,-54,-65,-40,15,446,369.646
236,12,3004,51,-25,-16,-28,-44,-22,6,10325,10134.833
230,28,1071,44,-7,-3,17,0,-27,5,2128,2132.368
107,21,138,7,-28,-4,29,-31,-45,17,129,123.513
132,45,139,15,-13,1,24,-14,-33,11,346,343.959
69,45,1,0,9,8,53,7,2,-1,0,0.0
245,21,789,15,-6,6,77,-6,-29,6,948,959.432
190,12,9882,112,-22,-12,-14,-39,-36,12,3953,4805.091
236,13,1812,40,-17,-7,33,-32,-19,4,5132,4391.057
95,51,395,6,-45,-14,4,-51,-34,14,52,41.671
96,1,208,5,-50,-18,-1,-40,-36,12,31,65.765
194,21,268,3,-10,3,122,1,-14,2,625,677.962
95,1,98,5,-41,8,4,-33,-26,11,26,36.628
293,51,926,28,-14,-5,41,-32,-33,10,3485,3499.607
205,37,1945,28,-13,-2,44,-25,-35,11,1726,1866.602
85,21,35,1,-33,-5,69,-23,-40,15,5,5.49
265,1,818,2,-9,-4,28,-5,-26,5,2439,2447.457
263,45,922,11,-8,1,67,-2,-11,1,3188,3189.828
