days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
121,47,603,7,-18,2,0,-25,-39,14,199,222.92
135,13,326,22,-17,-2,21,-40,-40,15,1527,1333.393
330,51,2600,21,2,28,25,-26,-43,11,4029,4066.608
91,1,52,7,-36,-11,-23,-26,-40,17,13,22.919
302,1,1269,19,-13,-3,-15,-14,-24,7,2911,3570.788
273,1,571,16,-11,-7,9,-10,-22,6,2517,2508.248
282,47,1992,63,-8,-2,69,-9,-27,5,2705,2718.988
88,21,92,1,-38,-6,100,-28,-29,9,9,5.957
202,45,1459,9,-7,1,47,-6,-31,8,1164,1139.676
104,28,145,13,-27,-9,-14,-28,-40,14,111,97.62
287,28,876,25,-8,-3,27,6,-20,4,3140,3140.771
193,21,451,2,-12,9,211,11,-9,1,622,676.638
289,13,1864,22,-11,-4,22,-29,-30,8,7492,7480.719
233,13,2939,55,-16,-8,-2,-33,-35,11,4904,5765.706
120,1,158,17,-22,-4,-11,-24,-39,16,260,242.352
172,45,1155,5,-4,15,104,17,-8,1,644,662.286
238,12,2665,183,-25,-15,-26,-42,-35,10,10580,10379.563
96,12,788,26,-57,-33,-70,-70,-45,15,221,233.196
282,45,1050,12,-7,-3,36,0,-24,6,3514,3516.293
104,13,1086,34,-38,-16,-6,-52,-48,18,481,397.005
267,1,569,31,-8,-5,14,-7,-24,6,2488,2465.772
248,1,1108,33,-5,1,40,7,-29,5,2266,2245.258
239,37,1342,36,-13,-3,50,-27,-32,8,2606,2584.482
327,45,1277,9,-8,0,6,4,-11,3,4283,4246.62
315,21,2079,14,-13,-1,37,-7,-26,7,1590,1594.213
248,51,948,15,-12,1,85,-26,-40,10,2677,2654.776
90,1,117,2,-33,-10,10,-25,-38,14,6,10.862
126,28,215,32,-5,11,15,-10,-33,11,374,379.253
231,21,608,12,-11,1,65,-11,-30,7,830,1035.798
273,28,1141,48,-8,-4,24,3,-18,4,2969,2926.955
185,12,9415,67,-19,0,-6,-42,-53,16,3684,4222.872
184,51,532,30,-2,12,112,-23,-41,10,1816,1621.037
171,21,257,2,-8,9,147,-5,-33,6,522,523.944
218,1,972,30,-2,4,51,0,-30,7,1698,1685.396
169,47,313,4,1,8,98,-12,-29,7,497,506.473
131,45,122,1,-17,11,26,-14,-26,4,331,329.451
314,13,1648,29,-15,-7,12,-32,-27,8,8223,8164.136
234,37,2075,29,-15,-4,46,-26,-33,9,2494,2471.788
265,28,465,36,-7,-7,20,2,-21,4,2846,2824.366
333,37,3444,9,-20,-12,41,-24,-17,4,5219,6712.218
218,12,5408,225,-23,-16,-21,-42,-37,11,7627,7588.27
237,13,2441,24,-18,-9,7,-35,-34,10,5156,5236.251
88,45,121,2,-35,-4,12,-32,-25,9,15,7.384
148,45,207,20,-11,-3,-4,-6,-31,12,466,644.727
182,45,1755,19,0,6,48,1,-30,9,739,804.597
327,1,1798,0,-12,0,15,-1,-12,3,3457,3410.726
289,28,1116,8,-9,-5,16,8,-18,4,3160,3152.175
139,21,247,12,-22,-3,3,-25,-36,14,346,772.62
242,21,820,3,-12,3,135,-2,-9,2,921,940.21
163,37,1310,11,-11,2,46,-27,-33,11,1064,1193.008
282,51,1114,16,-15,-3,62,-30,-35,10,3344,3348.713
100,12,1089,48,-46,-21,-46,-58,-50,21,371,358.284
237,51,1006,24,-15,-6,56,-35,-38,11,2495,2564.772
170,45,992,4,-2,5,63,4,-28,8,621,653.785
332,1,917,0,-21,-16,12,-30,-59,17,3572,9685.165
100,13,613,42,-37,-10,-10,-51,-51,21,413,286.117
103,1,321,1,-64,-47,-50,-51,-45,13,61,102.278
140,28,263,15,0,7,34,-5,-28,9,570,555.595
197,13,4102,37,-8,-1,38,-31,-38,11,3091,3166.509
