days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
144,28,247,10,-9,8,45,-2,-16,4,625,566.504,9.35936,90.64064,567,9.28,90.72
146,45,82,5,-13,0,68,-18,-65,18,440,478.496,8.749090909,91.25090909,478,8.636363636,91.36363636
317,51,1235,27,-24,-13,-17,-40,-37,15,3785,6310.9,66.7344782,33.2655218,6311,66.73712021,33.26287979
259,21,718,9,-7,4,101,-3,-27,5,1074,1072.798,0.111918063,99.88808194,1073,0.09310987,99.90689013
152,51,791,17,-23,-4,96,-30,-17,5,1392,1440.203,3.462859195,96.5371408,1440,3.448275862,96.55172414
328,37,2419,5,-9,5,21,-31,-29,7,5039,4654.861,7.623318119,92.37668188,4655,7.620559635,92.37944037
293,37,1144,5,-11,-1,58,-21,-29,6,3939,3832.224,2.710738766,97.28926123,3832,2.716425489,97.28357451
228,47,1289,19,-10,3,97,-3,-11,2,1345,1361.576,1.232416357,98.76758364,1362,1.26394052,98.73605948
320,28,589,2,-11,-7,4,2,-18,3,3545,3555.417,0.293850494,99.70614951,3555,0.282087447,99.71791255
228,51,938,1,-22,-7,31,-22,-17,6,2382,2264.996,4.912006717,95.08799328,2265,4.911838791,95.08816121
244,47,1818,7,-8,-5,34,-16,-28,7,1754,1841.043,4.962542759,95.03745724,1841,4.96009122,95.03990878
280,21,1036,4,-10,1,69,-3,-29,5,1218,1215.022,0.244499179,99.75550082,1215,0.246305419,99.75369458
93,21,90,11,-33,-3,42,-30,-46,17,31,39.741,28.19677419,71.80322581,40,29.03225806,70.96774194
147,47,358,5,-7,4,54,-17,-32,10,344,355.426,3.321511628,96.67848837,355,3.197674419,96.80232558
130,1,284,8,-15,20,39,-3,-18,5,394,421.853,7.06928934,92.93071066,422,7.106598985,92.89340102
140,21,134,20,-20,4,30,-19,-37,13,366,470.939,28.67185792,71.32814208,471,28.68852459,71.31147541
222,12,6190,77,-25,-16,-18,-43,-22,6,8186,8368.36,2.227705839,97.77229416,8368,2.223308087,97.77669191
181,45,1324,4,-1,4,61,1,-29,8,720,726.036,0.838333333,99.16166667,726,0.833333333,99.16666667
168,28,489,24,6,10,57,3,-25,6,939,887.585,5.475505857,94.52449414,888,5.431309904,94.5686901
135,51,859,22,-29,-6,40,-42,-46,18,977,959.933,1.746878199,98.2531218,960,1.740020471,98.25997953
319,13,3035,51,-12,-6,41,-25,-9,3,8956,8620.861,3.742061188,96.25793881,8621,3.740509156,96.25949084
222,47,2127,8,-7,3,94,-6,-16,2,1223,1213.642,0.765167621,99.23483238,1214,0.735895339,99.26410466
106,1,288,2,-19,-2,10,-24,-40,15,75,103.523,38.03066667,61.96933333,104,38.66666667,61.33333333
126,1,367,23,-12,9,16,-14,-33,12,323,373.36,15.59133127,84.40866873,373,15.47987616,84.52012384
313,28,516,0,-10,-7,10,6,-16,2,3443,3455.537,0.364130119,99.63586988,3456,0.377577694,99.62242231
257,21,530,3,-14,-1,85,1,-13,1,1060,1064.423,0.417264151,99.58273585,1064,0.377358491,99.62264151
205,45,1564,49,-6,1,43,-2,-31,9,1334,1299.933,2.553748126,97.44625187,1300,2.548725637,97.45127436
163,21,62,9,-4,11,113,-7,-32,8,493,496.007,0.609939148,99.39006085,496,0.60851927,99.39148073
246,12,2310,127,-23,-16,-21,-41,-34,9,11501,11772.231,2.358325363,97.64167464,11772,2.356316842,97.64368316
195,13,3790,25,-10,-1,48,-34,-38,10,3026,3092.834,2.208658295,97.79134171,3093,2.214144085,97.78585592
