days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases
240,12,605342,3229,-23,10868,10781.142
179,12,130092,9518,-13,3390,3377.01
274,21,68840,984,68,1174,1184.674
314,37,294860,1521,27,4615,4614.975
198,12,311640,13764,-15,4677,4587.432
311,47,273144,1373,38,3541,3590.278
298,37,258292,2584,100,4144,4058.817
255,1,136703,1138,38,2333,2330.576
220,21,33796,542,159,764,758.646
127,13,28998,802,17,1327,1172.909
121,13,25241,537,-15,1111,1027.998
276,47,198403,971,62,2515,2555.601
99,13,10080,1130,-6,371,299.57
318,1,213617,2980,11,3231,3247.558
328,47,344550,4074,18,4301,4347.873
239,47,147353,1936,69,1648,1702.127
82,37,255,71,-7,0,2.853
240,28,81294,599,8,2413,2407.935
248,21,51677,792,133,987,986.439
163,51,53211,564,50,1534,1512.303
243,12,614753,2547,-34,11119,11134.615
197,1,59113,1805,42,1211,1187.437
151,47,22720,484,133,366,364.846
289,45,161106,1297,25,3607,3559.885
304,28,120160,824,0,3334,3339.491
83,1,196,39,-11,0,3.666
100,1,2838,339,5,48,61.212
129,28,9378,288,-12,422,403.911
173,13,64673,885,50,2643,2511.259
191,28,34622,1031,38,1215,1189.55
128,37,13397,639,29,507,512.663
135,21,7225,145,90,328,327.077
236,21,43529,463,123,881,879.267
254,37,184179,1307,49,2990,3004.602
295,51,170104,1332,56,3524,3518.346
138,45,8816,155,51,385,382.916
220,51,99189,1307,76,2322,2227.651
284,47,212649,1646,29,2758,2912.387
317,12,851825,5504,-40,17372,17321.691
131,47,15060,217,50,243,269.97
187,47,51431,1291,79,646,710.57
161,12,64448,1070,-20,2765,2683.253
157,21,10977,272,105,466,469.406
94,13,5931,488,4,198,120.556
309,28,123887,1612,5,3405,3346.567
235,1,114532,900,53,2011,2132.137
244,45,118992,668,26,2720,2681.74
173,21,13750,120,89,526,534.083
149,21,9184,107,74,409,404.219
308,47,266357,1770,44,3454,3488.118
291,37,243725,2102,97,3929,3875.606
67,45,2,2,53,0,0.0
306,13,390428,1435,24,7981,7991.005
111,45,4439,62,-25,124,139.814
288,45,159809,926,27,3593,3552.152
306,47,261426,754,38,3353,3409.16
201,13,145038,3193,51,3173,3107.596
282,21,77455,868,77,1234,1273.562
270,21,66036,970,175,1154,1155.165
268,13,327158,1608,-24,6822,6784.2
104,21,2048,85,-16,104,93.894
251,37,181070,1039,134,2897,2841.053
176,13,69639,1835,25,2698,2661.74
326,28,143180,779,19,3676,3581.887
302,51,178183,1429,40,3636,3607.396
112,1,5668,244,18,180,178.467
102,47,4863,0,11,100,98.205
300,21,97866,924,12,1410,1734.144
190,21,17919,400,97,608,619.171
314,51,194913,1435,29,3726,3735.94
168,47,31830,670,108,493,519.972
297,28,115088,1212,6,3255,3240.334
303,45,174591,1100,-1,3889,3863.448
90,28,937,90,4,20,18.383
242,51,119747,938,46,2569,2603.893
317,28,131970,1305,9,3519,3426.626
154,28,16322,301,43,782,738.092
103,28,2942,300,-50,98,82.826
278,37,217496,610,35,3634,3574.516
334,51,237836,1893,19,4062,3962.008
152,21,9704,0,153,431,428.223
188,13,97534,1642,20,2878,2682.677
234,51,112072,1212,74,2443,2372.33
110,1,4946,223,-44,165,148.122
174,28,22287,1646,17,978,918.762
325,1,228373,2463,7,3451,3431.905
268,1,148206,1053,-14,2480,2495.477
218,51,95867,818,79,2299,2257.372
293,13,364909,1134,35,7657,7552.85
109,21,2707,185,67,144,144.356
278,12,707751,1813,-44,14671,14655.008
210,1,82530,1260,24,1493,1729.671
118,21,4146,72,55,213,212.811
311,51,190874,2103,41,3704,3679.722
90,45,925,151,-1,18,13.473
83,47,615,110,-16,2,8.076
189,47,53514,1359,103,665,709.763
266,21,62731,814,79,1119,1122.045
320,21,137586,1449,16,1661,1784.115
274,45,147942,308,23,3378,3351.816
223,51,101746,996,69,2344,2240.512
246,37,173509,1216,45,2779,2791.92
265,12,677362,1671,-32,13317,13317.165
287,12,729591,2657,-21,15531,15506.157
142,51,34950,813,14,1136,1174.052
90,13,3224,389,2,103,55.018
145,51,37727,1483,62,1208,1174.14
277,12,705938,2726,-33,14628,14566.798
86,45,456,32,-5,9,8.199
101,37,3908,257,12,74,75.213
253,12,644781,2006,-29,12115,12164.114
175,37,54470,854,77,1251,1232.617
78,47,98,25,21,0,1.087
205,12,385091,10171,-31,5518,5621.573
109,47,6763,433,2,145,169.571
252,12,642775,1797,-30,11915,11792.385
88,13,2592,225,14,79,47.364
190,45,48909,1557,36,884,1091.724
228,45,105882,1041,50,2260,2139.054
330,21,166139,3301,1,1835,1916.852
75,37,32,9,-3,0,0.536
330,12,946956,8126,-20,18254,18223.748
222,1,101334,981,49,1768,1889.938
180,1,36350,1245,58,924,934.482
101,47,4863,228,-5,98,97.447
153,12,55415,651,-24,2460,2477.231
274,28,98886,696,20,2979,2989.314
214,51,91782,981,93,2218,2183.833
74,1,1,0,55,0,0.144
102,51,5077,568,17,130,117.686
149,1,16729,467,31,594,643.935
154,21,10185,139,95,442,443.837
257,47,171824,933,49,2078,2230.12
125,51,19492,0,39,684,646.051
242,12,612206,3132,-22,11105,11017.405
248,47,160597,1051,83,1837,1847.895
302,21,101494,1857,31,1442,1574.945
246,21,49991,806,64,966,981.661
103,13,12203,157,-57,447,359.794
267,28,95310,737,0,2874,2895.586
320,13,424989,2084,13,8957,8946.806
321,51,206763,2125,13,3835,3836.26
122,13,26176,935,45,1167,1038.94
160,51,51738,487,70,1496,1458.238
288,37,236407,1926,49,3856,3843.599
92,13,4806,570,-5,154,86.736
262,45,136318,872,23,3177,3058.976
226,37,142636,1978,41,2287,2279.789
178,21,14859,242,141,553,550.968
206,21,25931,784,135,691,696.848
95,13,6353,422,-18,208,124.405
164,28,19348,865,50,889,815.453
188,51,66740,638,75,1881,1874.952
238,21,44568,669,80,895,896.371
228,37,145508,1662,41,2343,2337.899
113,28,5153,437,-5,201,182.315
260,13,313535,2669,-8,6419,6346.58
248,13,290938,2298,56,5931,5919.21
122,12,34728,1038,-27,1314,1358.996
300,13,377553,1346,25,7827,7792.625
139,45,8942,126,15,391,392.376
64,12,2,0,14,0,0.082
284,21,79445,989,111,1249,1263.434
195,37,87756,1846,77,1510,1641.6
300,51,175409,1134,24,3600,3630.624
134,13,33331,558,32,1505,1441.682
324,37,325158,4296,2,4936,4958.459
191,12,229367,8891,-12,4009,4084.6
192,21,18670,425,127,620,629.247
297,47,241513,3606,64,3076,3123.786
213,13,190734,4308,63,3752,3703.203
221,45,99460,1241,80,2007,1812.107
190,1,46991,1170,40,1057,1092.314
121,1,7306,201,15,280,262.556
103,12,19337,892,-63,461,591.714
293,1,173485,859,18,2789,2788.335
155,45,12651,236,49,518,534.687
87,37,764,128,38,3,6.721
249,37,178932,1586,121,2889,2824.468
250,37,180031,1099,105,2890,2825.817
235,51,112072,0,88,2443,2432.818
223,21,35254,272,65,775,808.871
218,45,95472,1282,34,1894,1912.742
211,47,100822,1778,87,1020,1031.707
76,28,12,2,24,0,0.003
129,47,14512,346,-21,241,275.861
143,13,39387,1031,51,1808,1680.992
191,13,107333,2838,21,2930,2935.281
117,12,30680,684,-52,1074,1087.803
264,1,144962,798,46,2437,2458.774
71,51,15,7,40,0,0.034
252,13,297429,1744,28,6070,6035.665
321,28,135803,905,-1,3581,3505.081
261,12,666507,3273,-24,13086,13065.883
173,51,58465,471,104,1620,1619.096
212,47,102871,2049,62,1033,1113.802
289,37,238939,2532,52,3874,3958.97
226,13,234964,2816,17,4538,4437.25
86,12,2352,491,-34,29,40.083
163,13,54011,1101,44,2375,2402.117
181,47,42297,2125,65,592,630.321
295,21,90996,1452,75,1363,1404.872
128,47,14166,228,35,237,264.089
270,13,330612,1442,58,6914,6914.544
234,47,140844,1669,47,1549,1759.858
87,13,2367,524,33,65,40.476
257,12,656485,2395,-42,12608,12642.647
279,1,159713,544,21,2559,2566.721
197,37,91563,1816,64,1568,1639.136
240,13,272456,2819,20,5393,5329.84
83,37,297,42,-17,0,4.652
316,28,130665,1271,6,3514,3446.338
221,21,34758,962,236,772,783.715
249,51,126926,1199,144,2678,2604.487
162,21,11883,175,81,484,490.233
253,13,299621,2192,37,6128,6153.907
149,37,25413,784,21,827,867.626
311,28,125885,1031,0,3433,3424.326
166,21,12445,0,141,499,503.048
157,51,49397,865,50,1460,1423.794
107,47,6262,426,1,141,152.964
216,51,94251,1145,27,2244,2080.522
301,12,776215,4226,-23,16505,16511.211
286,28,105941,1009,18,3115,3104.629
309,47,269802,3445,35,3478,3545.701
148,28,14372,328,22,692,647.497
285,45,157406,785,3,3552,3514.431
206,1,76136,1792,37,1439,1467.581
284,45,156621,945,31,3551,3525.938
319,28,134309,969,23,3543,3323.53
202,12,355899,10287,-20,5072,5097.022
320,37,312235,3117,13,4806,4787.964
324,28,140429,1638,2,3642,3450.963
184,28,28770,0,41,1092,1081.066
250,45,124952,663,96,2887,2752.468
248,28,85939,823,30,2558,2527.956
68,45,6,4,38,0,0.0
164,45,17170,729,44,593,625.208
146,13,41622,532,67,1830,1744.258
155,21,10410,225,98,450,446.488
97,37,2870,285,22,33,52.609
