days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,predicted %error,predicted %accuracy
238,21,44568,669,80,895,896.371,0.153184358,99.84681564,896,0.111731844,99.88826816
228,37,145508,1662,41,2343,2337.899,0.217712335,99.78228767,2338,0.213401622,99.78659838
113,28,5153,437,-5,201,182.315,9.2960199,90.7039801,182,9.452736318,90.54726368
260,13,313535,2669,-8,6419,6346.58,1.128213117,98.87178688,6347,1.121670042,98.87832996
248,13,290938,2298,56,5931,5919.21,0.198786039,99.80121396,5919,0.202326758,99.79767324
122,12,34728,1038,-27,1314,1358.996,3.42435312,96.57564688,1359,3.424657534,96.57534247
300,13,377553,1346,25,7827,7792.625,0.439184873,99.56081513,7793,0.434393765,99.56560623
139,45,8942,126,15,391,392.376,0.351918159,99.64808184,392,0.255754476,99.74424552
284,21,79445,989,111,1249,1263.434,1.155644516,98.84435548,1263,1.120896717,98.87910328
195,37,87756,1846,77,1510,1641.6,8.715231788,91.28476821,1642,8.741721854,91.25827815
300,51,175409,1134,24,3600,3630.624,0.850666667,99.14933333,3631,0.861111111,99.13888889
134,13,33331,558,32,1505,1441.682,4.20717608,95.79282392,1442,4.186046512,95.81395349
324,37,325158,4296,2,4936,4958.459,0.455004052,99.54499595,4958,0.445705024,99.55429498
191,12,229367,8891,-12,4009,4084.6,1.885757047,98.11424295,4085,1.895734597,98.1042654
192,21,18670,425,127,620,629.247,1.491451613,98.50854839,629,1.451612903,98.5483871
297,47,241513,3606,64,3076,3123.786,1.553511053,98.44648895,3124,1.56046814,98.43953186
213,13,190734,4308,63,3752,3703.203,1.300559701,98.6994403,3703,1.305970149,98.69402985
221,45,99460,1241,80,2007,1812.107,9.710662681,90.28933732,1812,9.715994021,90.28400598
190,1,46991,1170,40,1057,1092.314,3.340964995,96.659035,1092,3.311258278,96.68874172
121,1,7306,201,15,280,262.556,6.23,93.77,263,6.071428571,93.92857143
103,12,19337,892,-63,461,591.714,28.35444685,71.64555315,592,28.4164859,71.5835141
293,1,173485,859,18,2789,2788.335,0.023843672,99.97615633,2788,0.035855145,99.96414485
155,45,12651,236,49,518,534.687,3.221428571,96.77857143,535,3.281853282,96.71814672
87,37,764,128,38,3,6.721,124.0333333,-24.03333333,7,133.3333333,-33.33333333
249,37,178932,1586,121,2889,2824.468,2.233714088,97.76628591,2824,2.249913465,97.75008654
250,37,180031,1099,105,2890,2825.817,2.220865052,97.77913495,2826,2.214532872,97.78546713
235,51,112072,0,88,2443,2432.818,0.416782644,99.58321736,2433,0.409332788,99.59066721
223,21,35254,272,65,775,808.871,4.370451613,95.62954839,809,4.387096774,95.61290323
218,45,95472,1282,34,1894,1912.742,0.989545935,99.01045407,1913,1.003167899,98.9968321
211,47,100822,1778,87,1020,1031.707,1.147745098,98.8522549,1032,1.176470588,98.82352941
129,47,14512,346,-21,241,275.861,14.46514523,85.53485477,276,14.52282158,85.47717842
143,13,39387,1031,51,1808,1680.992,7.024778761,92.97522124,1681,7.024336283,92.97566372
191,13,107333,2838,21,2930,2935.281,0.180238908,99.81976109,2935,0.170648464,99.82935154
117,12,30680,684,-52,1074,1087.803,1.285195531,98.71480447,1088,1.303538175,98.69646182
264,1,144962,798,46,2437,2458.774,0.893475585,99.10652442,2459,0.902749282,99.09725072
252,13,297429,1744,28,6070,6035.665,0.565650741,99.43434926,6036,0.560131796,99.4398682
321,28,135803,905,-1,3581,3505.081,2.120050265,97.87994973,3505,2.122312203,97.8776878
261,12,666507,3273,-24,13086,13065.883,0.153729176,99.84627082,13066,0.152835091,99.84716491
173,51,58465,471,104,1620,1619.096,0.055802469,99.94419753,1619,0.061728395,99.9382716
212,47,102871,2049,62,1033,1113.802,7.822071636,92.17792836,1114,7.841239109,92.15876089
289,37,238939,2532,52,3874,3958.97,2.193340217,97.80665978,3959,2.19411461,97.80588539
226,13,234964,2816,17,4538,4437.25,2.220141031,97.77985897,4437,2.225650066,97.77434993
86,12,2352,491,-34,29,40.083,38.21724138,61.78275862,40,37.93103448,62.06896552
163,13,54011,1101,44,2375,2402.117,1.141768421,98.85823158,2402,1.136842105,98.86315789
181,47,42297,2125,65,592,630.321,6.473141892,93.52685811,630,6.418918919,93.58108108
295,21,90996,1452,75,1363,1404.872,3.072046955,96.92795304,1405,3.081438004,96.918562
128,47,14166,228,35,237,264.089,11.42995781,88.57004219,264,11.39240506,88.60759494
270,13,330612,1442,58,6914,6914.544,0.007868094,99.99213191,6915,0.014463408,99.98553659
234,47,140844,1669,47,1549,1759.858,13.61252421,86.38747579,1760,13.62169141,86.37830859
87,13,2367,524,33,65,40.476,37.72923077,62.27076923,40,38.46153846,61.53846154
257,12,656485,2395,-42,12608,12642.647,0.274801713,99.72519829,12643,0.277601523,99.72239848
279,1,159713,544,21,2559,2566.721,0.301719422,99.69828058,2567,0.312622118,99.68737788
197,37,91563,1816,64,1568,1639.136,4.536734694,95.46326531,1639,4.528061224,95.47193878
240,13,272456,2819,20,5393,5329.84,1.171147784,98.82885222,5330,1.168180975,98.83181902
316,28,130665,1271,6,3514,3446.338,1.925498008,98.07450199,3446,1.935116676,98.06488332
221,21,34758,962,236,772,783.715,1.517487047,98.48251295,784,1.554404145,98.44559585
249,51,126926,1199,144,2678,2604.487,2.745070948,97.25492905,2604,2.763256161,97.23674384
162,21,11883,175,81,484,490.233,1.287809917,98.71219008,490,1.239669421,98.76033058
253,13,299621,2192,37,6128,6153.907,0.42276436,99.57723564,6154,0.424281984,99.57571802
149,37,25413,784,21,827,867.626,4.912454655,95.08754534,868,4.957678356,95.04232164
311,28,125885,1031,0,3433,3424.326,0.252665307,99.74733469,3424,0.262161375,99.73783863
166,21,12445,0,141,499,503.048,0.811222445,99.18877756,503,0.801603206,99.19839679
157,51,49397,865,50,1460,1423.794,2.479863014,97.52013699,1424,2.465753425,97.53424658
107,47,6262,426,1,141,152.964,8.485106383,91.51489362,153,8.510638298,91.4893617
216,51,94251,1145,27,2244,2080.522,7.285115865,92.71488414,2081,7.263814617,92.73618538
301,12,776215,4226,-23,16505,16511.211,0.037631021,99.96236898,16511,0.03635262,99.96364738
286,28,105941,1009,18,3115,3104.629,0.3329374,99.6670626,3105,0.321027287,99.67897271
309,47,269802,3445,35,3478,3545.701,1.946549741,98.05345026,3546,1.955146636,98.04485336
148,28,14372,328,22,692,647.497,6.431069364,93.56893064,647,6.502890173,93.49710983
285,45,157406,785,3,3552,3514.431,1.057685811,98.94231419,3514,1.06981982,98.93018018
206,1,76136,1792,37,1439,1467.581,1.986170952,98.01382905,1468,2.015288395,97.98471161
284,45,156621,945,31,3551,3525.938,0.705773022,99.29422698,3526,0.704027035,99.29597297
319,28,134309,969,23,3543,3323.53,6.194467965,93.80553203,3324,6.181202371,93.81879763
202,12,355899,10287,-20,5072,5097.022,0.493335962,99.50666404,5097,0.492902208,99.50709779
320,37,312235,3117,13,4806,4787.964,0.375280899,99.6247191,4788,0.374531835,99.62546816
324,28,140429,1638,2,3642,3450.963,5.24538715,94.75461285,3451,5.244371225,94.75562878
184,28,28770,0,41,1092,1081.066,1.001282051,98.99871795,1081,1.007326007,98.99267399
250,45,124952,663,96,2887,2752.468,4.659923796,95.3400762,2752,4.676134396,95.3238656
248,28,85939,823,30,2558,2527.956,1.174511337,98.82548866,2528,1.172791243,98.82720876
164,45,17170,729,44,593,625.208,5.431365936,94.56863406,625,5.396290051,94.60370995
146,13,41622,532,67,1830,1744.258,4.685355191,95.31464481,1744,4.699453552,95.30054645
155,21,10410,225,98,450,446.488,0.780444444,99.21955556,446,0.888888889,99.11111111
97,37,2870,285,22,33,52.609,59.42121212,40.57878788,53,60.60606061,39.39393939
199,47,73819,2279,89,815,830.527,1.905153374,98.09484663,831,1.963190184,98.03680982
121,28,7212,643,15,282,268.452,4.804255319,95.19574468,268,4.964539007,95.03546099
152,37,28590,916,75,886,877.688,0.938148984,99.06185102,878,0.902934537,99.09706546
237,37,158678,1389,48,2535,2523.31,0.461143984,99.53885602,2523,0.473372781,99.52662722
212,13,186426,4183,18,3671,3683.333,0.335957505,99.6640425,3683,0.326886407,99.67311359
105,12,20984,590,-52,571,619.124,8.428021016,91.57197898,619,8.406304729,91.59369527
161,51,52177,439,85,1514,1478.983,2.312879789,97.68712021,1479,2.311756935,97.68824306
318,12,858585,6760,-24,17445,17482.303,0.213832044,99.78616796,17482,0.212095156,99.78790484
247,51,124779,1111,59,2662,2656.255,0.215815177,99.78418482,2656,0.22539444,99.77460556
230,1,109004,571,30,1925,1953.918,1.502233766,98.49776623,1954,1.506493506,98.49350649
98,37,3221,351,24,46,63.319,37.65,62.35,63,36.95652174,63.04347826
123,28,7441,229,28,291,286.105,1.682130584,98.31786942,286,1.718213058,98.28178694
120,28,6569,0,-7,250,231.673,7.3308,92.6692,232,7.2,92.8
121,47,10735,603,0,199,246.916,24.07839196,75.92160804,247,24.12060302,75.87939698
135,13,33657,326,21,1527,1467.36,3.905697446,96.09430255,1467,3.929273084,96.07072692
330,51,228901,2600,25,4029,4015.571,0.333308513,99.66669149,4016,0.32266071,99.67733929
91,1,999,52,-23,13,19.974,53.64615385,46.35384615,20,53.84615385,46.15384615
302,1,187706,1269,-15,2911,2907.294,0.127310203,99.8726898,2907,0.137409825,99.86259018
273,1,153554,571,9,2517,2514.386,0.103853794,99.89614621,2514,0.119189511,99.88081049
282,47,209447,1992,69,2705,2698.394,0.244214418,99.75578558,2698,0.258780037,99.74121996
88,21,394,92,100,9,9.344,3.822222222,96.17777778,9,0,100
202,45,71445,1459,47,1164,1252.789,7.627920962,92.37207904,1253,7.64604811,92.35395189
104,28,3087,145,-14,111,90.153,18.78108108,81.21891892,90,18.91891892,81.08108108
287,28,106817,876,27,3140,3118.922,0.671273885,99.32872611,3119,0.668789809,99.33121019
193,21,19121,451,211,622,633.491,1.847427653,98.15257235,633,1.768488746,98.23151125
289,13,358533,1864,22,7492,7475.289,0.223051255,99.77694875,7475,0.226908703,99.7730913
233,13,254163,2939,-2,4904,4767.355,2.786398858,97.21360114,4767,2.793637847,97.20636215
120,1,7105,158,-11,260,240.402,7.537692308,92.46230769,240,7.692307692,92.30769231
172,45,23786,1155,104,644,668.465,3.798913043,96.20108696,668,3.726708075,96.27329193
238,12,599176,2665,-26,10580,10463.202,1.103950851,98.89604915,10463,1.105860113,98.89413989
96,12,11961,788,-70,221,275.259,24.55158371,75.44841629,275,24.43438914,75.56561086
282,45,154755,1050,36,3514,3478.059,1.022794536,98.97720546,3478,1.024473534,98.97552647
104,13,13289,1086,-6,481,455.597,5.281288981,94.71871102,456,5.197505198,94.8024948
267,1,147153,569,14,2488,2476.836,0.448713826,99.55128617,2477,0.442122186,99.55787781
248,1,130393,1108,40,2266,2264.827,0.051765225,99.94823477,2265,0.044130627,99.95586937
239,37,161466,1342,50,2606,2569.659,1.394512663,98.60548734,2570,1.381427475,98.61857252
327,45,206295,1277,6,4283,4272.065,0.255311697,99.7446883,4272,0.256829325,99.74317067
315,21,124646,2079,37,1590,1663.158,4.601132075,95.39886792,1663,4.591194969,95.40880503
248,51,125727,948,85,2677,2696.092,0.713186403,99.2868136,2696,0.70974972,99.29025028
90,1,947,117,10,6,14.361,139.35,-39.35,14,133.3333333,-33.33333333
126,28,8422,215,15,374,340.471,8.964973262,91.03502674,340,9.090909091,90.90909091
231,21,40299,608,65,830,847.347,2.09,97.91,847,2.048192771,97.95180723
273,28,98190,1141,24,2969,2919.653,1.662074773,98.33792523,2920,1.650387336,98.34961266
185,12,175718,9415,-6,3684,3525.333,4.306921824,95.69307818,3525,4.315960912,95.68403909
184,51,63735,532,112,1816,1792.212,1.309911894,98.69008811,1792,1.321585903,98.6784141
171,21,13454,257,147,522,535.659,2.616666667,97.38333333,536,2.681992337,97.31800766
218,1,94819,972,51,1698,1831.439,7.858598351,92.14140165,1831,7.832744405,92.16725559
169,47,32143,313,98,497,522.804,5.19195171,94.80804829,523,5.23138833,94.76861167
131,45,7653,122,26,331,327.759,0.979154079,99.02084592,328,0.906344411,99.09365559
314,13,406904,1648,12,8223,8270.919,0.582743524,99.41725648,8271,0.583728566,99.41627143
234,37,154018,2075,46,2494,2475.426,0.744747394,99.25525261,2475,0.761828388,99.23817161
265,28,94021,465,20,2846,2825.858,0.707730148,99.29226985,2826,0.702740689,99.29725931
333,37,357958,3444,41,5219,5226.307,0.140007664,99.85999234,5226,0.134125311,99.86587469
218,12,497181,5408,-21,7627,7548.673,1.026969975,98.97303002,7549,1.022682575,98.97731742
237,13,264540,2441,7,5156,5108.391,0.92337083,99.07662917,5108,0.930954228,99.06904577
88,45,660,121,12,15,8.415,43.9,56.1,8,46.66666667,53.33333333
148,45,10623,207,-4,466,475.586,2.057081545,97.94291845,476,2.145922747,97.85407725
182,45,36399,1755,48,739,838.866,13.51366712,86.48633288,839,13.53179973,86.46820027
327,1,232506,1798,15,3457,3466.077,0.262568701,99.7374313,3466,0.260341336,99.73965866
289,28,109255,1116,16,3160,3149.839,0.321550633,99.67844937,3150,0.316455696,99.6835443
139,21,7935,247,3,346,353.989,2.308959538,97.69104046,354,2.312138728,97.68786127
242,21,47577,820,135,921,932.99,1.30184582,98.69815418,933,1.302931596,98.6970684
163,37,39483,1310,46,1064,1068.427,0.416071429,99.58392857,1068,0.37593985,99.62406015
282,51,156649,1114,62,3344,3334.312,0.289712919,99.71028708,3334,0.299043062,99.70095694
100,12,16323,1089,-46,371,420.286,13.28463612,86.71536388,420,13.20754717,86.79245283
237,51,114636,1006,56,2495,2458.014,1.48240481,98.51759519,2458,1.482965932,98.51703407
170,45,21548,992,63,621,658.538,6.044766506,93.95523349,659,6.119162641,93.88083736
332,1,242874,917,12,3572,3606.375,0.962346025,99.03765398,3606,0.951847704,99.0481523
100,13,10693,613,-10,413,365.565,11.48547215,88.51452785,366,11.38014528,88.61985472
103,1,3583,321,-50,61,70.086,14.89508197,85.10491803,70,14.75409836,85.24590164
140,28,11967,263,34,570,523.737,8.116315789,91.88368421,524,8.070175439,91.92982456
197,13,129193,4102,38,3091,3033.85,1.848916208,98.15108379,3034,1.84406341,98.15593659
