days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,predicted %error,predicted %accuracy
228,47,131747,1289,97,1345,1394.073,3.648550186,96.35144981,1394,3.643122677,96.35687732
320,28,134898,589,4,3545,3470.81,2.09280677,97.90719323,3471,2.087447109,97.91255289
228,51,106691,938,31,2382,2305.214,3.223593619,96.77640638,2305,3.232577666,96.76742233
244,47,154933,1818,34,1754,1875.784,6.943215507,93.05678449,1876,6.955530217,93.04446978
280,21,74194,1036,69,1218,1272.343,4.461658456,95.53834154,1272,4.433497537,95.56650246
93,21,770,90,42,31,19.749,36.29354839,63.70645161,20,35.48387097,64.51612903
147,47,21089,358,54,344,370.591,7.72994186,92.27005814,371,7.848837209,92.15116279
130,1,9923,284,39,394,420.327,6.681979695,93.3180203,420,6.598984772,93.40101523
140,21,8069,134,30,366,367.061,0.28989071,99.71010929,367,0.273224044,99.72677596
222,12,527036,6190,-18,8186,8315.157,1.577779135,98.42222086,8315,1.575861226,98.42413877
181,45,34644,1324,61,720,821.753,14.13236111,85.86763889,822,14.16666667,85.83333333
168,28,20641,489,57,939,876.75,6.629392971,93.37060703,877,6.602768903,93.3972311
135,51,28672,859,40,977,924.263,5.397850563,94.60214944,924,5.424769703,94.5752303
319,13,422905,3035,41,8956,8908.333,0.532235373,99.46776463,8908,0.535953551,99.46404645
222,47,122712,2127,94,1223,1254.755,2.596484056,97.40351594,1255,2.616516762,97.38348324
106,1,4241,288,10,75,95.405,27.20666667,72.79333333,95,26.66666667,73.33333333
126,1,8679,367,16,323,336.188,4.082972136,95.91702786,336,4.024767802,95.9752322
313,28,127205,516,10,3443,3415.936,0.78605867,99.21394133,3416,0.784199826,99.21580017
257,21,56945,530,85,1060,1068.314,0.784339623,99.21566038,1068,0.754716981,99.24528302
205,45,76606,1564,43,1334,1383.213,3.689130435,96.31086957,1383,3.673163418,96.32683658
163,21,11945,62,113,493,492.04,0.194726166,99.80527383,492,0.202839757,99.79716024
246,12,626426,2310,-21,11501,11449.606,0.44686549,99.55313451,11450,0.443439701,99.5565603
